,Unnamed: 0,Npoints,lapse1,lapse2,deckchoice,RT1,RT2,choice_onset,press1_onset,info_onset,partner_onset,press2_onset,aff_onset,fix1_list,fix2_list,fix3_list,fix4_list,soc_win,block,duration,frequency,stimaff,stiminf,point_total,word,rating,is_catch,partner,highval_count
0,0,70,0,0,1,0.3393019812319835,1.216145775240875,4.7828544116291605,5.132754997145638,10.032723218154386,14.265905677468258,15.482072663082366,20.015851463022045,2.75,2.75,2.75,2.5,0,4,250,55,0,1,3410,ashamed,0.0,0,1,107
1,1,69,0,0,1,0.4836060268180518,0.996259294623087,25.0323684929408,25.532331374786736,30.28235029955977,34.515544826844234,35.511824600449465,39.26539224014777,2.75,2.75,1.75,2.5,1,4,250,55,0,1,3479,strong,0.0,0,0,108
2,2,73,0,0,1,0.476637687688708,1.4223724095463697,44.28206834786852,44.75873858250998,51.53188010580288,55.765081947009094,57.1874752012327,60.51499116295327,4.75,2.75,1.75,2.5,0,4,250,55,0,1,3479,active,0.0,0,1,109
3,3,78,0,0,1,0.5056553072927272,1.0465834659289612,65.53158279487616,66.04825908544444,69.78149548493275,74.01470975980645,75.06131370471667,81.76451438666662,1.75,2.75,4.75,1.75,0,4,250,55,0,1,3479,proud,0.0,0,0,110
4,4,83,0,0,1,0.4599535346542325,0.9978508040376256,86.031154016202,86.49773286704567,93.2812448002578,99.51413945674358,100.51201110545843,107.26401868560696,4.75,4.75,4.75,1.75,1,4,250,55,0,1,3562,nervous,0.0,0,0,111
5,5,85,0,0,1,0.3001425117690815,1.0748704247298522,111.53066306919209,111.84719937129465,115.78059916379878,119.01371908908004,120.08861035848804,126.76357710757021,1.75,1.75,4.75,1.75,1,4,250,55,0,1,3647,irritable,0.0,0,1,112
6,6,85,0,0,1,1.0060647040736512,1.2641847116356075,131.03026793455865,132.03636518558505,136.280159048546,139.51329031040586,140.7774962324156,144.26320793735977,2.75,1.75,1.75,2.5,0,4,250,55,0,1,3647,afraid,0.0,0,0,113
7,7,83,0,0,1,0.4353067148012997,1.2602136177183638,149.27983869876516,149.71517759482322,153.52981319146238,156.76293238535072,158.02316721344323,161.5128408699029,1.75,1.75,1.75,2.5,0,4,250,55,0,1,3647,hostile,0.0,0,0,114
8,8,83,0,0,1,0.26649700805683096,1.1242467117526758,166.5295231944574,166.79605274946698,170.7794720884276,174.01257080333468,175.13683872546062,181.76242370208,1.75,1.75,4.75,2.5,0,4,250,55,0,1,3647,jittery,0.0,0,0,115
9,9,81,0,0,1,0.3104171093118566,1.86335984751895,186.77911736321403,187.0895673851737,191.0290271277017,194.26216387500332,196.12554493289642,200.0120416410828,1.75,1.75,2.75,1.75,0,4,250,55,0,1,3647,inspired,0.0,0,1,116
10,10,82,0,0,1,0.8576495029647049,1.3575421711593665,204.27872990819924,205.14524425025138,211.52858225840006,214.7617329021532,216.1192962836858,219.51164431227332,4.75,1.75,1.75,3.25,0,4,250,55,0,1,3647,active,0.0,0,0,117
11,11,83,0,0,1,0.2997113560704747,1.021603862627671,225.2782545032724,225.59488552066526,230.52812550397445,236.76127797620845,237.78290268351432,242.51116305620965,2.75,4.75,2.75,3.25,0,4,250,55,0,1,3647,excited,0.0,0,1,118
12,12,86,0,0,1,0.2990688280278846,1.0548094339355885,248.27776154493404,248.57768683322135,253.54435034271137,256.7608548658236,257.81568477874043,262.51079297175966,2.75,1.75,2.75,2.5,1,4,250,55,0,1,3733,jittery,0.0,0,0,119
13,13,85,0,0,1,0.2769884633853508,1.3599619822334716,267.5274189791153,267.8106184250128,274.79392476387875,278.0103967400383,279.37037920125385,282.7770888469631,4.75,1.75,1.75,1.75,0,4,250,55,0,1,3733,scared,0.0,0,0,120
14,14,81,0,0,11,0.0,1.2384371465323056,0.0,0.0,0.0,286.27694823681395,287.5154062280235,292.0268373394729,1.75,1.75,2.75,2.5,0,4,250,55,0,1,3733,excited,-0.9500000000000004,2,1,120
15,15,77,0,0,1,0.4667909545805742,1.2635224360046775,303.54327848745106,304.0101023546804,307.793338918731,312.0263802193512,313.2899238657292,316.7762802928928,1.75,2.75,1.75,1.75,1,4,250,55,0,1,3810,nervous,0.0,0,1,121
16,16,73,0,0,1,0.4969265071522386,1.0434915054283922,321.04292394508496,321.54283197251704,328.2928307840048,331.52608565114497,332.5695980012506,337.27583213232634,4.75,1.75,2.75,1.75,0,4,250,55,0,1,3810,irritable,0.0,0,1,122
17,17,74,0,0,1,0.4617619018536061,1.2158005581250109,341.542544169688,342.00433934988723,346.79242687266566,350.02557093388896,351.2413923366912,355.77551342817696,2.75,1.75,2.75,1.75,0,4,250,55,0,1,3810,irritable,0.0,0,1,123
18,18,78,0,0,1,0.35194555809084704,1.0559035966571173,360.0421702454296,360.4087334079104,367.2919626214698,370.52518384457017,371.58110755451247,375.275076969886,4.75,1.75,1.75,3.25,0,4,250,55,0,1,3810,upset,0.0,0,0,124
19,19,78,0,0,1,0.5830969412809281,1.255124956527652,381.04167107025665,381.62480019279434,385.2916089933442,388.5248602035245,389.7800060047292,394.27465495659,1.75,1.75,2.75,1.75,0,4,250,55,0,1,3810,irritable,0.0,0,1,125
20,20,74,0,0,1,0.3752535645317039,1.2430599108938625,398.5413607771188,398.9245440958175,402.7912405545266,409.02439046688784,410.2674719538518,416.7741870484333,1.75,4.75,4.75,2.5,1,4,250,55,0,1,3884,afraid,0.0,0,1,126
21,21,71,0,0,1,0.5206484815744261,1.2152948004231805,421.7908192726227,422.3115003011498,427.04082740936076,431.273943311985,432.48925895708544,436.02384777387937,2.75,2.75,1.75,1.75,1,4,250,55,0,1,3955,afraid,0.0,0,0,127
22,22,73,0,0,1,0.4596339162653749,1.1635850066058993,440.29048996328765,440.7501560608089,444.5404205724526,450.773483449143,451.9370893004271,455.52337218610495,1.75,4.75,1.75,1.75,1,4,250,55,0,1,4028,excited,0.0,0,1,128
23,23,73,0,0,1,0.5366747473308351,1.3094461861737727,459.79004033993624,460.3400231339346,465.03996034391463,469.2731376834827,470.58260471433465,477.022990216532,2.75,2.75,4.75,1.75,1,4,250,55,0,1,4101,excited,0.0,0,1,129
24,24,70,0,0,1,0.28793484465859365,1.2966618163172825,481.28958376835914,481.5895002799398,486.53954107333993,489.7727129274663,491.0693955884617,494.52263530846994,2.75,1.75,1.75,1.75,1,4,250,55,0,1,4171,alert,0.0,0,0,130
25,25,73,0,0,1,0.5879577738032822,1.0897644953702184,498.7893158959678,499.3773062167238,503.03915288693224,507.27229182841074,508.3620771684582,515.0221505782929,1.75,2.75,4.75,3.25,1,4,250,55,0,1,4244,nervous,0.0,0,1,131
26,26,75,0,0,11,0.0,1.4139496970392433,0.0,0.0,0.0,520.0220284357965,521.435998977513,524.7719453313583,1.75,4.75,1.75,1.75,1,4,250,55,0,1,4319,distressed,-1.3000000000000005,2,0,131
27,27,78,0,0,1,1.212130432095364,1.0039904758114062,538.5384542245392,539.7506172035874,542.7883698401647,547.0215504709977,548.0255617914863,552.7713646059565,1.75,2.75,2.75,2.5,0,4,250,55,0,1,4319,jittery,0.0,0,1,132
28,28,74,0,0,1,0.4934260641121,1.1271613096450892,557.7880081667245,558.2814671434853,562.0379790024608,565.2711519536759,566.3983341079993,571.0376400021787,1.75,1.75,2.75,1.75,1,4,250,55,0,1,4393,upset,0.0,0,0,133
29,29,73,0,0,1,0.35930116938652645,1.5987128960168775,575.2876986049787,575.6541922852011,582.5375063402553,586.787362347417,588.386095722416,591.5372668093123,4.75,2.75,1.75,1.75,0,4,250,55,0,1,4393,strong,0.0,0,0,134
30,30,71,0,0,1,0.3961340802798077,0.0,595.8038618239233,596.200028451156,601.0538037696679,0.0,0.0,0.0,2.75,1.75,1.75,3.25,1,4,250,55,0,1,4393,enthusiastic,0.5499999999999999,1,1,135
31,31,70,0,0,1,0.6933093339175684,1.0210531243064906,613.0535013389963,613.746835905944,620.3033986698165,624.5365160352247,625.5575900042086,629.286424519777,4.75,2.75,1.75,1.75,1,4,250,55,0,1,4463,irritable,0.0,0,1,136
32,32,70,0,0,1,0.4932223713849453,1.0319369715462017,633.5530721946261,634.0463271129637,637.8030112148017,644.0361190721113,645.0680768883357,649.7860597379195,1.75,4.75,2.75,1.75,1,4,250,55,0,1,4533,nervous,0.0,0,0,137
33,33,69,0,0,1,0.3984536906227731,0.0,654.0526456101288,654.4525525770414,658.3025301415864,0.0,0.0,0.0,1.75,4.75,1.75,3.25,0,4,250,55,0,1,4533,proud,3.599999999999995,1,0,138
34,34,69,0,0,1,0.5254614079076418,1.0392596701931325,673.3023012158293,673.8354864910025,677.5522011065233,680.7853451677465,681.8246256826169,685.5352514581209,1.75,1.75,1.75,2.5,1,4,250,55,0,1,4602,excited,0.0,0,0,139
35,35,69,0,0,1,0.5715098604468949,1.252358831249694,690.5519389024213,691.1234813098207,694.8019174177753,698.0349806601616,699.2873603360886,703.7848726883885,1.75,1.75,2.75,3.25,1,4,250,55,0,1,4671,jittery,0.0,0,0,140
36,36,72,0,0,1,0.4025447328604059,0.0,709.5515933196092,709.9541804732179,714.8014994271372,0.0,0.0,0.0,2.75,1.75,1.75,1.75,0,4,250,55,0,1,4671,ashamed,-3.399999999999996,1,1,141
37,37,71,0,0,1,0.2638131644016539,1.1125981939730991,725.3012498395502,725.5677369738133,729.5511983678242,733.7842510050241,734.8968700436743,738.534141204771,1.75,2.75,1.75,3.25,1,4,250,55,0,1,4742,afraid,0.0,0,0,142
38,38,73,0,0,1,0.4518924955873445,1.8268249789452968,744.3008874347179,744.7673364634476,749.5507657493417,755.7837876680687,757.6106331259952,760.5336972497089,2.75,4.75,1.75,2.5,0,4,250,55,0,1,4742,alert,0.0,0,1,143
39,39,69,0,0,11,0.0,1.5127417662606604,0.0,0.0,0.0,764.7836044543246,766.2963677966554,772.5334972139435,1.75,1.75,4.75,1.75,1,4,250,55,0,1,4811,proud,3.1999999999999966,2,1,143
40,0,63,0,0,2,0.6041241011648708,1.2869844005017512,4.782932304898623,5.3995643096700405,10.016187537735275,16.266010266552254,17.55301514603525,24.01579880278405,2.75,4.75,4.75,1.75,0,2,1750,55,0,1,799,guilty,0.0,0,1,43
41,1,65,0,0,2,0.2752261738937705,0.9964271491321596,28.282500234960022,28.565746489957288,32.515808493730674,35.765534313081844,36.761982306891696,40.515499846224884,1.75,1.75,1.75,3.25,1,2,1750,55,0,1,864,distressed,0.0,0,1,44
42,2,66,0,0,2,0.4914410656970176,1.0311755922725752,46.282086998370225,46.782104368934604,50.5154387749767,53.76521432899699,54.7964111316428,58.51506722774229,1.75,1.75,1.75,3.25,0,2,1750,55,0,1,864,nervous,0.0,0,1,45
43,3,63,0,0,2,0.6244088979710796,1.363215214712909,64.28168656114394,64.90612800606777,68.51495934739341,72.76476891115091,74.1280046048455,77.51466971608444,1.75,2.75,1.75,2.5,0,2,1750,55,0,1,864,scared,0.0,0,0,46
44,4,46,0,0,11,0.0,1.8524167575119463,0.0,0.0,0.0,81.76457289804284,83.61701013453603,86.51447662854524,1.75,1.75,1.75,1.75,1,2,1750,55,0,1,910,guilty,-2.1500000000000004,2,0,46
45,5,63,0,0,2,0.7546025596534491,1.271477788899119,97.28100417222687,98.0476450816982,102.51430072872292,108.76403934743713,110.03553798101393,116.51387213289719,2.75,4.75,4.75,2.5,0,2,1750,55,0,1,910,jittery,0.0,0,1,47
46,6,61,0,0,2,0.6047743088251991,1.0927964817110478,121.53058956427685,122.14711844274916,125.76380018218971,130.01357061646513,131.10638757715742,135.76347032431022,1.75,2.75,2.75,2.5,0,2,1750,55,0,1,910,irritable,0.0,0,0,48
47,7,62,0,0,2,0.4438457186679443,1.1188618367232266,140.78015338025716,141.230006023015,145.0300273065277,151.26311943890502,152.38200212030597,156.01307802382237,1.75,4.75,1.75,1.75,0,2,1750,55,0,1,910,afraid,0.0,0,0,49
48,8,66,0,0,2,0.4551950970394501,1.1330358517484456,160.27968839766982,160.74633929064476,167.52960986443304,173.76275355995998,174.8958106220821,178.51263205743183,4.75,4.75,1.75,3.25,1,2,1750,55,0,1,976,strong,0.0,0,1,50
49,9,66,0,0,2,0.571201212941105,1.014238743234273,184.2791859312324,184.86254324813493,188.52914616178168,191.76234800298835,192.7766075909003,196.5123025652483,1.75,1.75,1.75,3.25,0,2,1750,55,0,1,976,nervous,0.0,0,0,51
50,10,67,0,0,2,0.5903172450211969,0.0,202.27887179828483,202.86922232165082,206.5287965563129,0.0,0.0,0.0,1.75,1.75,2.75,1.75,0,2,1750,55,0,1,976,active,-2.3,1,0,52
51,11,66,0,0,2,0.3274344114906853,1.5424377521248969,218.0285155188626,218.36173487691207,222.2784841604221,226.5115656876128,228.0540242844149,231.2614588129286,1.75,2.75,1.75,2.5,1,2,1750,55,0,1,1042,strong,0.0,0,1,53
52,12,62,0,0,2,0.6756228078802451,1.2193719462088666,236.27810017952012,236.9537559000496,243.52805858158942,246.76114705700596,247.9805398478925,254.51099483600547,4.75,1.75,4.75,1.75,1,2,1750,55,0,1,1104,proud,0.0,0,0,54
53,13,64,0,0,2,0.5468198884555022,1.1306306685178242,258.77762715161856,259.32447995272287,264.02757019445147,270.2606608640449,271.3913123772404,276.02730067642824,2.75,4.75,2.75,1.75,1,2,1750,55,0,1,1168,afraid,0.0,0,1,55
54,14,66,0,0,2,0.313860138065138,1.1442213982682006,280.27724847331046,280.59114188971995,284.52712166818856,287.77699193749817,288.9212341804441,293.52683093979164,1.75,1.75,2.75,2.5,1,2,1750,55,0,1,1234,alert,0.0,0,1,56
55,15,65,0,0,2,0.2954626988148448,1.3161490299362413,298.5434803516973,298.83897632885737,302.77679884995905,306.02656123891984,307.34273111353383,311.77651762966025,1.75,1.75,2.75,2.5,0,2,1750,55,0,1,1234,attentive,0.0,0,1,57
56,16,68,0,0,2,0.6234339521765833,1.3033503979322631,316.79309426804275,317.4263296070121,322.02634767239937,325.27623220385664,326.5796034464665,330.0260799828561,2.75,1.75,1.75,1.75,1,2,1750,55,0,1,1302,jittery,0.0,0,1,58
57,17,66,0,0,2,0.4195375334020355,0.9694153726204604,334.2927196123915,334.7260815553496,338.526003369524,341.7758253669485,342.7452615842467,349.5257206864408,1.75,1.75,4.75,2.5,0,2,1750,55,0,1,1302,hostile,0.0,0,1,59
58,18,63,0,0,1,0.3977680104417232,1.0436988551150534,354.5422841597637,354.94221818818824,358.77567872281367,363.02538004052667,364.06909974031936,368.7753020558339,1.75,2.75,2.75,2.5,0,2,1750,55,0,1,1302,strong,0.0,0,0,59
59,19,67,0,0,1,0.3898302109591896,1.1457887717401718,373.7919181893949,374.18178058161044,378.0252447329708,381.2750030992743,382.4208127156922,386.0249572958383,1.75,1.75,1.75,2.5,0,2,1750,55,0,1,1302,interested,0.0,0,0,60
60,20,63,0,0,1,0.32603013847801776,1.300751395770476,391.0415441737114,391.36760722483865,396.27480562338224,402.52463054637565,403.8254027868238,410.2744070146364,2.75,4.75,4.75,1.75,0,2,1750,55,0,1,1302,attentive,0.0,0,0,60
61,21,62,0,0,2,0.3881191189211677,1.1459895388975383,414.54110186428215,414.92925389585207,418.77437757610045,423.0241798259362,424.170190209511,427.77412780566596,1.75,2.75,1.75,2.5,0,2,1750,55,0,1,1302,ashamed,0.0,0,1,60
62,22,60,0,0,2,0.2942493191653739,1.4189984973545506,432.7906759197531,433.09058328893167,438.023884709186,441.2737538814072,442.6927732234394,446.02371429480456,2.75,1.75,1.75,3.25,1,2,1750,55,0,1,1362,upset,0.0,0,1,60
63,23,0,0,1,0,0.6634027071022501,0.0,451.7902798708801,452.45685645440835,457.0402364444685,460.2733596610146,0.0,0.0,2.75,1.75,1.75,1.75,1,2,1750,55,0,1,1362,excited,0.0,0,1,60
64,24,62,0,0,1,0.7285960817125671,0.9511920047129934,469.28991326054296,470.01854225490433,474.53982558490367,477.7730340086401,478.7242468580307,485.52284814359876,2.75,1.75,4.75,2.5,1,2,1750,55,0,1,1424,enthusiastic,0.0,0,0,60
65,25,66,0,0,2,0.7176167877910302,0.9884699677563732,490.5396760151998,491.272706162089,495.78944169542547,499.02253858185264,500.01102939428665,503.7724488948848,2.75,1.75,1.75,1.75,0,2,1750,55,0,1,1424,determined,0.0,0,0,61
66,26,62,0,0,1,0.7907245573337605,1.0845763648417233,508.03915361832514,508.82991035691566,512.2890714281275,516.5221803825257,517.6067775920446,522.2720720450566,1.75,2.75,2.75,1.75,1,2,1750,55,0,1,1486,hostile,0.0,0,1,61
67,27,63,0,0,1,1.0457683293279842,0.9768342493407544,526.5388385711376,527.5846412758992,533.7885951089611,540.0217073546241,540.9985620829466,547.771534654642,4.75,4.75,4.75,1.75,1,2,1750,55,0,1,1549,attentive,0.0,0,0,61
68,28,58,0,0,2,0.2729925021330928,1.123800562513679,552.0381980544239,552.3112154238911,559.2880624725958,565.521175815347,566.6449975882342,571.2710601639566,4.75,4.75,2.75,3.25,1,2,1750,55,0,1,1607,nervous,0.0,0,0,61
69,29,67,0,0,1,0.6462665536910208,1.011098145153028,577.0377116786143,577.6876132515099,581.2876064495626,584.5207702583753,585.5318892482055,589.2874619996046,1.75,1.75,1.75,1.75,1,2,1750,55,0,1,1674,irritable,0.0,0,1,62
