Npoints,lapse1,lapse2,deckchoice,RT1,RT2,choice_onset,press1_onset,info_onset,partner_onset,press2_onset,aff_onset,fix1_list,fix2_list,fix3_list,fix4_list,soc_win,block,duration,frequency,stimaff,stiminf,point_total,word,rating,is_catch,partner,highval_count
67,0,0,1,0.9194973470771401,0.0,4.782903539949075,5.702434530820938,12.032768324806057,0.0,0.0,0.0,4.75,2.75,1.75,1.75,0,4,250,55,0,1,3498,afraid,0.7000000000000001,1,0,113
64,0,0,1,0.5433608176322196,0.0,23.53246022809799,24.075857249378714,28.78224273193473,0.0,0.0,0.0,2.75,1.75,1.75,3.25,1,4,250,55,0,1,3498,proud,0.6,1,0,113
63,0,0,1,1.1525815578615948,1.334588636954777,40.78189239763606,41.948503417953816,46.031755354026245,52.26488308232774,53.59949329519395,60.01462554273485,2.75,4.75,4.75,2.5,0,4,250,55,0,1,3498,upset,0.0,0,1,113
64,0,0,1,0.5918360406226384,1.4386953375183111,65.03120827666635,65.62307759539044,70.28111731042736,73.51426698033447,74.95298243099114,78.2641019611774,2.75,1.75,1.75,1.75,1,4,250,55,0,1,3562,interested,0.0,0,0,113
65,0,0,11,0.0,1.414638561420361,0.0,0.0,0.0,81.764058626507,83.17871766675898,89.51379852706032,2.75,2.75,4.75,3.25,1,4,250,55,0,1,3627,inspired,0.7000000000000001,2,0,113
64,0,0,1,0.7120957853467189,1.9158718624871653,103.78012646409934,104.49668919460055,108.0301093679318,111.26316395754884,113.17905629886809,116.0130391646685,1.75,1.75,1.75,1.75,0,4,250,55,0,1,3627,upset,0.0,0,1,113
66,0,0,1,0.7282177455658712,1.298172520260323,120.27969878564181,121.01291592598545,125.52957673546234,129.76265070683075,131.0608437059227,134.5125259139504,2.75,2.75,1.75,1.75,0,4,250,55,0,1,3627,alert,0.0,0,1,113
66,0,0,1,0.7053289942587071,1.3411060251282834,138.77917712397493,139.49569706834563,143.02903642343063,147.26215939771782,148.603286267371,153.0119914530137,1.75,2.75,2.75,2.5,1,4,250,55,0,1,3693,interested,0.0,0,0,113
66,0,0,1,0.9904309002167793,1.6873782012344236,158.02858698621458,159.01905153022608,162.27854026888008,168.51156194608893,170.1989609918487,173.26141704007023,1.75,4.75,1.75,1.75,1,4,250,55,0,1,3759,alert,0.0,0,1,113
67,0,0,1,0.5805002759157105,1.3814610256749802,177.5280400917013,178.1112812398178,184.77787415831108,188.01100225230584,189.39248412250618,193.76086356307542,4.75,1.75,2.75,1.75,0,4,250,55,0,1,3759,interested,0.0,0,1,113
66,0,0,1,0.4096475775922954,1.332387528244908,198.02750197383057,198.44402531915011,203.2773572506585,206.51061333735106,207.84302134442805,211.2604121145455,2.75,1.75,1.75,2.5,0,4,250,55,0,1,3759,jittery,0.0,0,1,113
67,0,0,1,0.5447508183301579,1.2376498931625974,216.276954987894,216.82173871863233,221.54360656361177,225.75994859813272,226.99761933582067,231.5264555421022,2.75,2.75,2.75,1.75,0,4,250,55,0,1,3759,inspired,0.0,0,0,113
62,0,0,1,0.359833916675143,1.2481127476703477,235.7764037050597,236.13627053414302,243.02625934758134,247.27603892587103,248.52417251806628,252.0258735410207,4.75,2.75,1.75,1.75,0,4,250,55,0,1,3759,proud,0.0,0,0,113
59,0,0,1,0.6262744872888106,1.4040645361124007,256.2924995181993,256.9257335170091,263.54231383736396,266.77556590142876,268.1796516477598,272.52533908008354,4.75,1.75,2.75,3.25,1,4,250,55,0,1,3818,scared,0.0,0,1,113
60,0,0,1,0.4105972834095155,1.3253311079670311,278.29187271967294,278.708483100027,283.54178833591595,286.7748882715173,288.10023985831594,292.5247356859368,2.75,1.75,2.75,1.75,1,4,250,55,0,1,3878,active,0.0,0,0,113
59,0,0,1,0.6027892900101506,1.2625433758112194,296.7913492295388,297.3941728947307,301.0413193341019,304.2743881857623,305.5369524060984,309.02432446368357,1.75,1.75,1.75,1.75,0,4,250,55,0,1,3878,ashamed,0.0,0,1,113
57,0,0,1,0.6148893539693745,1.2244468978410623,313.29088498173905,313.9075669648655,318.5408660571047,321.77403035474845,322.99849773142114,329.5237409998281,2.75,1.75,4.75,1.75,1,4,250,55,0,1,3935,proud,0.0,0,1,113
58,0,0,1,0.5998981178122449,1.2727041675520923,333.7903040777378,334.4069227959021,338.04019884945546,341.2733551018441,342.5460804796144,347.0233334345089,1.75,1.75,2.75,1.75,0,4,250,55,0,1,3935,scared,0.0,0,1,113
53,0,0,11,0.0,1.540773536668894,0.0,0.0,0.0,350.5231471137099,352.06394112921043,355.2729674668162,1.75,1.75,1.75,2.5,1,4,250,55,0,1,3988,hostile,0.35,2,1,113
52,0,0,1,0.7371509044878621,1.3759573396682754,366.7893807018463,367.5265652501289,371.0393021691839,377.2723461536916,378.6483243378848,383.0222879170142,1.75,4.75,2.75,2.5,0,4,250,55,0,1,3988,enthusiastic,0.0,0,1,113
51,0,0,1,0.6213226326563017,1.3292056297768795,388.03879531810026,388.6720190774945,393.2886721708405,397.5217973392878,398.85102344789675,402.2716484106418,2.75,2.75,1.75,1.75,0,4,250,55,0,1,3988,interested,0.0,0,1,113
54,0,0,1,0.5442735884143985,1.1663499152141412,406.53826451409805,407.0825710149202,410.78826167997386,417.02123545134464,418.1876062110837,422.77111943510636,1.75,4.75,2.75,1.75,0,4,250,55,0,1,3988,attentive,0.0,0,0,113
54,0,0,1,0.6364605118756117,1.3142871666109386,427.0377070144755,427.6742019015328,434.3042141412916,440.52057848311097,441.8348868599405,448.2704818486245,4.75,4.75,4.75,1.75,1,4,250,55,0,1,4042,jittery,0.0,0,0,113
52,0,0,1,0.5027516601567186,1.2933109919031267,452.5370405382132,453.03982511077766,456.8035487621096,463.020003795898,464.31333599801974,467.76980330447896,1.75,4.75,1.75,1.75,0,4,250,55,0,1,4042,alert,0.0,0,1,113
56,0,0,1,0.5927974486298808,1.2144616389427938,472.036467679467,472.63637567100204,476.302997844969,479.5195413765655,480.7340238600332,485.2693244289426,1.75,1.75,2.75,3.25,1,4,250,55,0,1,4098,excited,0.0,0,1,113
57,0,0,1,0.577974065754006,1.938766099196073,491.03588732400567,491.6191533392748,495.302507084396,498.51898625395006,500.45777283197776,506.2853940950022,1.75,1.75,4.75,3.25,1,4,250,55,0,1,4155,irritable,0.0,0,1,113
54,0,0,1,1.0884652615022787,1.3673448938775437,512.0519624754666,513.1519119732052,519.3017628982816,522.5349239046845,523.902290374474,527.2848579884449,4.75,1.75,1.75,2.5,0,4,250,55,0,1,4155,upset,0.0,0,1,113
54,0,0,1,0.44247441334573523,1.965383826330708,532.301389525297,532.7513032399343,539.5512254203741,542.7844142194767,544.7498185246395,550.5342287214885,4.75,1.75,4.75,2.5,0,4,250,55,0,1,4155,active,0.0,0,0,113
54,0,0,1,0.5737386045357198,1.6266204332659981,555.5507540415529,556.1245262898829,562.8006634410067,567.0336719532525,568.6603132310438,574.7834634165783,4.75,2.75,4.75,3.25,1,4,250,55,0,1,4209,alert,0.0,0,0,113
0,0,1,0,0.5217699122813428,0.0,580.5500299685764,581.0833082528598,585.799924740294,590.0330905007113,0.0,0.0,2.75,2.75,1.75,2.5,0,4,250,55,0,1,4209,alert,0.0,0,0,113
51,0,0,1,0.45485715832091955,1.2589731109283093,599.7994899308151,600.254380367237,604.0493945762546,610.2825087738993,611.5415027293529,618.0323064540135,1.75,4.75,4.75,1.75,1,4,250,55,0,1,4260,interested,0.0,0,1,113
55,0,0,1,0.5990855470281531,1.3769044856326218,622.2988581954278,622.8979766548637,626.5487654007211,629.781924944351,631.1588499088148,634.5317928376016,1.75,1.75,1.75,1.75,0,4,250,55,0,1,4260,guilty,0.0,0,0,113
56,0,0,1,0.43534851131698815,1.252153659987016,638.7984458760939,639.2338272998186,643.0483432076653,647.2814179104207,648.5335920492398,652.0314287898,1.75,2.75,1.75,2.5,0,4,250,55,0,1,4260,ashamed,0.0,0,0,113
