Npoints,lapse1,lapse2,deckchoice,RT1,RT2,choice_onset,press1_onset,info_onset,partner_onset,press2_onset,aff_onset,fix1_list,fix2_list,fix3_list,fix4_list,soc_win,block,duration,frequency,stimaff,stiminf,point_total,word,rating,is_catch,partner,highval_count
39,0,0,1,1.2102810317378498,1.396030617316228,4.782903539949075,5.999452191253567,8.766067380476215,12.265941033398576,13.661992495239701,17.282617384846162,1.75,1.75,1.75,2.5,0,3,250,55,1,0,2493,nervous,0.0,0,1,81
46,0,0,2,0.6214919487110819,1.321181219009759,22.032406288317816,22.665646138222655,26.015571225925214,30.51548766497808,31.836689728513193,35.53206235365451,1.75,2.75,1.75,3.25,0,3,250,55,1,0,2493,jittery,0.0,0,0,82
41,0,0,11,0.0,1.4393060455340674,0.0,0.0,0.0,40.26516064363523,41.70448753369419,48.28173094399017,2.75,2.75,4.75,3.25,0,3,250,55,1,0,2493,distressed,0.7500000000000001,2,0,82
45,0,0,2,0.811600234189882,1.297549012975196,62.28128223816111,63.092916116145716,69.26435355825197,72.76424403307192,74.06181352487874,77.78083590933875,4.75,1.75,1.75,1.75,1,3,250,55,1,0,2538,active,0.0,0,1,83
39,0,0,11,0.0,1.6755922679244577,0.0,0.0,0.0,81.0140195887343,82.68963233549039,89.03060744237337,1.75,1.75,4.75,1.75,0,3,250,55,1,0,2538,afraid,0.05000000000000002,2,0,83
38,0,0,2,2.116883297354889,1.0667507517741797,99.53018342084988,101.66343588717791,104.51337103144942,111.01316862014028,112.07994021643935,117.02974440589651,2.75,4.75,2.75,3.25,1,3,250,55,1,0,2576,interested,0.0,0,0,83
42,0,0,1,1.3510572745381069,1.1878951088870053,122.52958807195864,123.89613941110929,126.5128064008054,130.01264019314476,131.20055614655712,136.02927741539634,1.75,1.75,2.75,1.75,1,3,250,55,1,0,2618,ashamed,0.0,0,0,84
47,0,0,1,0.5001365864932268,1.159041532167521,140.02912967525344,140.52929953984813,144.0122598719854,148.51212474826616,149.67118785634557,154.52881426467684,1.75,2.75,2.75,1.75,0,3,250,55,1,0,2618,guilty,0.0,0,0,85
52,0,0,1,0.8462273786622063,1.2641557181100325,158.5285743697914,159.37852450749324,165.51165666068528,169.01154530703843,170.27572223536708,174.02822531542006,4.75,1.75,1.75,2.5,1,3,250,55,1,0,2670,excited,0.0,0,1,86
50,0,0,1,0.44742517089753164,1.3203887613631196,178.77800763641017,179.22546571971588,185.76109065869105,189.26097967073702,190.58138891093222,195.2942036495474,4.75,1.75,2.75,1.75,1,3,250,55,1,0,2720,determined,0.0,0,1,87
48,0,0,1,0.4405768301767239,1.292616540094059,199.27749621415887,199.72734666383394,204.26056314592915,210.76037280250284,212.05300982142853,215.79362274554614,2.75,4.75,1.75,1.75,0,3,250,55,1,0,2720,determined,0.0,0,0,88
44,0,0,1,0.6916831442026705,1.1505643929435792,219.776853507969,220.47675963446773,224.776654205054,231.2598036006907,232.41038883815918,236.2931361904475,2.75,4.75,1.75,2.5,0,3,250,55,1,0,2720,strong,0.0,0,1,89
