Npoints,lapse1,lapse2,deckchoice,RT1,RT2,choice_onset,press1_onset,info_onset,partner_onset,press2_onset,aff_onset,fix1_list,fix2_list,fix3_list,fix4_list,soc_win,block,duration,frequency,stimaff,stiminf,point_total,word,rating,is_catch,partner,highval_count
39,0,0,1,1.5121295022804588,1.284215830794892,4.7831302698709806,6.299144899070598,8.76680608118886,12.266001372813207,13.550244630614998,20.282399065872596,1.75,1.75,4.75,1.75,1,3,250,55,1,0,2049,active,0.0,0,1,51
0,1,0,0,0.0,0.0,24.28249999725722,0.0,0.0,0.0,0.0,0.0,1.75,1.75,4.75,2.5,0,3,250,55,1,0,2049,nervous,0.0,0,1,51
41,0,0,1,0.7804204816106903,1.1056104319168298,44.531954839787886,45.31241371920805,48.514699961346196,55.014535216459535,56.12017234399627,63.03133151534939,1.75,4.75,4.75,2.5,0,3,250,55,1,0,2049,jittery,0.0,0,1,51
45,0,0,2,1.8386231496369874,1.1648396013797537,67.78122171589939,69.63094036966504,72.76412920533721,76.26392423417383,77.42879016547977,81.28102003597678,2.75,1.75,1.75,1.75,0,3,250,55,1,0,2049,alert,0.0,0,1,52
0,1,0,0,0.0,0.0,85.28065653671501,0.0,0.0,0.0,0.0,0.0,2.75,4.75,2.75,2.5,1,3,250,55,1,0,2049,interested,0.0,0,0,52
41,0,0,1,1.1650253736384002,1.9610434111004906,107.52999618581771,108.71301440722391,114.51298449350179,118.01273088511334,119.97380099183374,124.02999015187606,4.75,1.75,2.75,2.5,1,3,250,55,1,0,2090,distressed,0.0,0,1,53
41,0,0,2,1.8470955348466305,1.3192258562803545,128.77951831593782,130.6456105269972,133.7624674944259,140.26209028166068,141.58134356494793,146.27903907470773,2.75,4.75,2.75,1.75,1,3,250,55,1,0,2131,excited,0.0,0,1,53
47,0,0,1,1.4802117803747024,1.0564041877751151,150.2789626447825,151.75921282296667,155.2617911444413,159.7615931214532,160.81802400484776,164.77861066486366,2.75,2.75,1.75,1.75,0,3,250,55,1,0,2131,active,0.0,0,1,54
52,0,0,1,0.811723472873382,1.3352977165004631,168.77825630793723,169.59464456610658,172.76123364481873,179.2611844590533,180.59650850548041,184.27803305210273,1.75,4.75,1.75,1.75,0,3,250,55,1,0,2131,scared,0.0,0,0,55
36,0,0,2,1.1983053035419289,1.0077812246413487,188.27787543823797,189.4762198709759,192.26116873423643,195.76048580176985,196.76829335633784,200.77776883860543,1.75,1.75,1.75,3.25,1,3,250,55,1,0,2167,determined,0.0,0,1,55
48,0,0,1,1.6417261314645657,2.114097444863546,206.27730166525816,207.91905888066367,213.27677360395637,219.77667248972512,221.89079699590184,227.79347537109652,4.75,4.75,4.75,2.5,1,3,250,55,1,0,2215,guilty,0.0,0,1,56
0,0,1,0,1.926853635961379,0.0,232.5434591891626,234.47627691914977,239.5261651815249,244.02584830817432,0.0,0.0,4.75,2.75,1.75,2.5,0,3,250,55,1,0,2215,scared,0.0,0,1,57
33,0,0,2,1.2872419438654106,2.163226527693496,253.79287051417577,255.08015122154393,257.77553993719584,262.275381409097,264.4386353637974,270.29229143864177,1.75,2.75,4.75,3.25,1,3,250,55,1,0,2248,strong,0.0,0,0,57
37,0,0,2,1.7251718850507132,0.0,275.79222616236575,277.52490390491084,279.77501114450706,0.0,0.0,0.0,1.75,1.75,4.75,1.75,0,3,250,55,1,0,2248,afraid,-7.499999999999981,1,0,57
43,0,0,11,0.0,1.3445051454896202,0.0,0.0,0.0,292.7745013678764,294.1190328432922,297.79165165799895,1.75,1.75,1.75,1.75,1,3,250,55,1,0,2291,proud,4.549999999999992,2,1,57
48,0,0,1,2.1083600807596667,0.9937473738641529,308.2913143058172,310.3997127843859,313.274016641245,317.7738522620516,318.76762669722893,322.7908215339303,2.75,2.75,1.75,3.25,1,3,250,55,1,0,2339,active,0.0,0,1,58
0,0,1,0,0.23679343916728612,0.0,328.2906169284606,328.54012808777816,332.273530268993,335.77331432702704,0.0,0.0,1.75,1.75,4.75,1.75,1,3,250,55,1,0,2339,afraid,0.0,0,0,58
35,0,0,2,1.2206447833282255,0.0,347.7901592631424,349.0108424442801,354.77292705769287,0.0,0.0,0.0,4.75,1.75,2.75,1.75,1,3,250,55,1,0,2339,hostile,-4.899999999999991,1,0,58
49,0,0,1,1.4498950642723685,1.5100918585308136,366.53958942136705,367.9895221520619,370.5224362056965,377.02231205277985,378.53243024123685,382.0395808275716,1.75,4.75,1.75,1.75,0,3,250,55,1,0,2339,enthusiastic,0.0,0,1,59
