,run,choice,star_points,pentagon_points,diff_points,is_social,aff_feedback_curr,aff_feedback_prev
133,29,1,73.0,55.0,18.0,0,0,1.0
134,30,1,71.0,55.0,16.0,1,1,0.0
135,31,1,70.0,55.0,15.0,1,1,1.0
136,32,1,70.0,55.0,15.0,0,1,1.0
137,33,1,69.0,55.0,14.0,0,0,1.0
138,34,1,69.0,55.0,14.0,0,1,0.0
139,35,1,69.0,55.0,14.0,0,1,1.0
140,36,1,72.0,55.0,17.0,1,0,1.0
141,37,1,71.0,55.0,16.0,0,1,0.0
142,38,1,73.0,55.0,18.0,1,0,1.0
