,run,choice,star_points,pentagon_points,diff_points,is_social,aff_feedback_curr,aff_feedback_prev
28,33,2,75.0,55.0,20.0,0,1,1.0
29,34,1,67.0,55.0,12.0,1,1,1.0
30,36,1,64.0,55.0,9.0,0,1,1.0
31,37,1,62.0,55.0,7.0,0,0,1.0
32,38,1,61.0,55.0,6.0,1,1,0.0
33,39,1,57.0,55.0,2.0,0,0,1.0
34,0,2,57.0,56.0,1.0,1,1,0.0
35,1,1,57.0,56.0,1.0,0,1,1.0
36,2,1,51.0,56.0,-5.0,1,1,1.0
37,3,2,51.0,65.0,-14.0,0,1,1.0
38,4,2,51.0,61.0,-10.0,1,0,1.0
39,5,2,51.0,63.0,-12.0,0,0,0.0
40,6,2,51.0,64.0,-13.0,0,1,0.0
41,7,1,44.0,64.0,-20.0,0,0,1.0
42,9,2,44.0,68.0,-24.0,0,1,0.0
43,10,2,44.0,65.0,-21.0,0,0,1.0
44,11,2,44.0,67.0,-23.0,1,1,0.0
45,12,2,44.0,68.0,-24.0,0,1,1.0
46,13,2,44.0,72.0,-28.0,0,1,1.0
47,14,2,44.0,70.0,-26.0,0,1,1.0
48,15,2,44.0,74.0,-30.0,1,0,1.0
49,16,2,44.0,73.0,-29.0,1,0,0.0
50,17,2,44.0,69.0,-25.0,1,1,0.0
51,18,2,44.0,75.0,-31.0,1,1,1.0
52,19,2,44.0,78.0,-34.0,1,0,1.0
53,20,2,44.0,73.0,-29.0,1,1,0.0
54,21,2,44.0,74.0,-30.0,0,1,1.0
55,22,2,44.0,73.0,-29.0,0,0,1.0
56,23,2,44.0,71.0,-27.0,1,0,0.0
57,24,2,44.0,72.0,-28.0,0,1,0.0
58,25,2,44.0,67.0,-23.0,1,0,1.0
59,26,2,44.0,62.0,-18.0,0,0,0.0
60,27,2,44.0,58.0,-14.0,0,0,0.0
61,28,2,44.0,60.0,-16.0,0,0,0.0
62,29,2,44.0,60.0,-16.0,1,0,0.0
63,30,2,44.0,56.0,-12.0,1,1,0.0
64,31,2,44.0,50.0,-6.0,0,0,1.0
65,32,1,30.0,50.0,-20.0,1,1,0.0
66,33,2,30.0,55.0,-25.0,0,0,1.0
67,34,2,30.0,59.0,-29.0,1,1,0.0
68,36,2,30.0,53.0,-23.0,1,0,1.0
69,38,2,30.0,46.0,-16.0,1,0,0.0
70,39,2,30.0,48.0,-18.0,0,0,0.0
71,0,1,39.0,48.0,-9.0,1,0,0.0
72,1,2,39.0,46.0,-7.0,0,0,0.0
73,3,2,39.0,45.0,-6.0,1,1,0.0
74,5,2,39.0,38.0,1.0,0,1,1.0
75,6,1,42.0,38.0,4.0,0,1,1.0
76,7,1,47.0,38.0,9.0,0,0,1.0
77,8,1,52.0,38.0,14.0,1,1,0.0
78,9,1,50.0,38.0,12.0,1,1,1.0
79,10,1,48.0,38.0,10.0,0,0,1.0
80,11,1,44.0,38.0,6.0,1,0,0.0
81,12,1,48.0,38.0,10.0,0,1,0.0
82,13,1,46.0,38.0,8.0,1,0,1.0
83,14,1,43.0,38.0,5.0,0,1,0.0
84,15,2,43.0,35.0,8.0,1,0,1.0
85,16,1,48.0,35.0,13.0,1,1,0.0
86,17,1,48.0,35.0,13.0,0,1,1.0
87,18,1,49.0,35.0,14.0,1,0,1.0
88,20,1,49.0,35.0,14.0,0,0,0.0
89,21,1,50.0,35.0,15.0,0,1,0.0
90,22,1,52.0,35.0,17.0,1,0,1.0
91,23,1,50.0,35.0,15.0,1,1,0.0
92,25,1,52.0,35.0,17.0,1,0,1.0
93,26,1,53.0,35.0,18.0,0,1,0.0
94,27,1,62.0,35.0,27.0,1,0,1.0
95,28,1,59.0,35.0,24.0,0,0,0.0
96,29,1,60.0,35.0,25.0,0,1,0.0
97,30,1,61.0,35.0,26.0,1,1,1.0
98,31,1,60.0,35.0,25.0,1,0,1.0
99,32,1,64.0,35.0,29.0,0,0,0.0
100,33,1,57.0,35.0,22.0,0,1,0.0
101,34,1,57.0,35.0,22.0,1,1,1.0
102,35,1,62.0,35.0,27.0,1,0,1.0
103,36,1,65.0,35.0,30.0,1,1,0.0
104,37,1,71.0,35.0,36.0,1,1,1.0
105,38,1,67.0,35.0,32.0,0,1,1.0
106,39,1,68.0,35.0,33.0,0,0,1.0
107,0,1,67.0,35.0,32.0,0,0,0.0
108,1,1,64.0,35.0,29.0,0,1,0.0
109,2,1,63.0,35.0,28.0,1,0,1.0
110,3,1,64.0,35.0,29.0,0,1,0.0
111,5,1,64.0,35.0,29.0,1,0,1.0
112,6,1,66.0,35.0,31.0,1,0,0.0
113,7,1,66.0,35.0,31.0,0,1,0.0
114,8,1,66.0,35.0,31.0,1,1,1.0
