Npoints,lapse1,lapse2,deckchoice,RT1,RT2,choice_onset,press1_onset,info_onset,partner_onset,press2_onset,aff_onset,fix1_list,fix2_list,fix3_list,fix4_list,soc_win,block,duration,frequency,stimaff,stiminf,point_total,word,rating,is_catch,partner,highval_count
58,0,0,1,1.5314011799464424,1.3366518792436182,4.78312807571001,6.314568019159196,9.016376117147502,12.265735148001568,13.602413722865094,17.015652409864742,1.75,1.75,1.75,2.5,1,2,1750,55,0,1,1188,inspired,0.0,0,1,38
57,0,0,1,2.0546660469385643,0.0,22.032578895612914,24.098639583899512,26.265900807121852,0.0,0.0,0.0,1.75,4.75,1.75,1.75,0,2,1750,55,0,1,1188,interested,6.099999999999986,1,0,38
51,0,0,1,2.011699263968694,1.3331361026812374,39.78220543120551,41.79394309298368,47.01522893688161,51.264643553135556,52.59780562004971,59.0145004755841,4.75,2.75,4.75,1.75,1,2,1750,55,0,1,1239,attentive,0.0,0,1,38
65,0,0,2,1.6166238378718845,1.421986439356715,63.28163001260555,64.89829261398017,67.51483051389778,70.76402607979207,72.18603994615523,75.5141444730375,1.75,1.75,1.75,3.25,1,2,1750,55,0,1,1304,jittery,0.0,0,0,39
50,0,0,1,1.851912082913259,1.5701891841781617,81.28085693671028,83.13280778312628,85.5147153204698,88.76357042578775,90.33378593989255,94.51359044750279,1.75,1.75,2.75,1.75,1,2,1750,55,0,1,1354,alert,0.0,0,1,39
50,0,0,1,1.5151512270294916,1.1422203661250023,98.78027676409602,100.29545907506599,103.03039972850911,106.26317236849764,107.40541943024209,111.01304245590927,1.75,1.75,1.75,2.5,1,2,1750,55,0,1,1404,ashamed,0.0,0,1,39
49,0,0,1,0.4464165884387512,0.0,116.02978207231854,116.47622974469823,121.2798436002372,0.0,0.0,0.0,2.75,2.75,1.75,3.25,0,2,1750,55,0,1,1404,hostile,-6.449999999999985,1,1,39
44,0,0,1,1.1513930542387243,1.1507234695823172,134.2793393090078,135.4456325417409,141.52895103401625,145.76202244553087,146.91277297642637,151.5117919672516,4.75,2.75,2.75,1.75,1,2,1750,55,0,1,1448,strong,0.0,0,1,39
45,0,0,1,1.6745240774380363,1.3537502409008084,155.77879095172057,157.45334574740582,163.0286198986223,166.2614005838659,167.6151778860799,171.01129334427014,4.75,1.75,1.75,2.5,0,2,1750,55,0,1,1448,scared,0.0,0,1,39
42,0,0,1,1.4186641146138754,1.3908015670695022,176.02821361323004,177.4469172227341,180.27814531998365,183.51086712858614,184.90175938762422,188.27763005795123,1.75,1.75,1.75,3.25,1,2,1750,55,0,1,1490,active,0.0,0,1,39
