Npoints,lapse1,lapse2,deckchoice,RT1,RT2,choice_onset,press1_onset,info_onset,partner_onset,press2_onset,aff_onset,fix1_list,fix2_list,fix3_list,fix4_list,soc_win,block,duration,frequency,stimaff,stiminf,point_total,word,rating,is_catch,partner,highval_count
39,0,0,1,0.5012742680501105,1.479064081292563,4.783986606746112,5.299523022580615,8.766288378434183,15.26622456446512,16.74530949043583,21.282743788560765,1.75,4.75,2.75,1.75,0,3,250,55,1,0,1644,guilty,0.0,0,0,44
46,0,0,2,0.7226531544401951,1.4661319702136097,25.283318662824968,26.01609062826992,29.265835098121897,32.76593840726946,34.23209268494429,37.78242069605858,1.75,1.75,1.75,1.75,1,3,250,55,1,0,1690,active,0.0,0,0,45
0,1,0,0,0.0,0.0,41.78288439870994,0.0,0.0,0.0,0.0,0.0,4.75,1.75,2.75,2.5,1,3,250,55,1,0,1690,afraid,0.0,0,1,45
41,0,0,1,0.4467540997275137,1.0534409991405482,63.032862182672034,63.49881020774865,67.01507947856135,71.51512500772515,72.56858612015094,79.53156158450292,1.75,2.75,4.75,3.25,1,3,250,55,1,0,1731,upset,0.0,0,1,45
0,0,1,0,1.721756833305335,0.0,85.03252976491967,86.75431914517776,90.014457063804,94.5145022272718,0.0,0.0,2.75,2.75,1.75,2.5,1,3,250,55,1,0,1731,interested,0.0,0,1,46
41,0,0,1,0.38697631861759874,1.231706144169948,104.28197436397204,104.68097733013292,109.26424212592337,115.76418452878806,116.99591188333125,123.78051797926582,2.75,4.75,4.75,3.25,0,3,250,55,1,0,1731,enthusiastic,0.0,0,1,47
41,0,0,2,0.8418302211985065,0.9848660327206744,129.28165803684806,130.13078755214337,136.263884840836,140.76358880984571,141.7484771500276,148.78052456179557,4.75,2.75,4.75,3.25,0,3,250,55,1,0,1731,nervous,0.0,0,1,47
0,0,1,0,0.6788954222529355,0.0,154.28134097833208,154.96026894753777,159.28012613589817,163.7635101851847,0.0,0.0,2.75,2.75,1.75,2.5,0,3,250,55,1,0,1731,alert,0.0,0,0,47
52,0,0,1,0.34524308002437465,1.3857051589839102,173.53083823762245,173.896457538478,177.52985853777864,182.01310362254935,183.3988296262114,190.04633808384733,1.75,2.75,4.75,2.5,1,3,250,55,1,0,1783,alert,0.0,0,0,48
36,0,0,22,0.0,1.6613515176932196,0.0,0.0,0.0,194.02927580104824,195.6906477977236,199.04573578237614,2.75,4.75,1.75,1.75,0,3,250,55,1,0,1783,excited,-1.4500000000000006,2,0,48
