,run,choice,star_points,pentagon_points,diff_points,is_social,aff_feedback_curr,aff_feedback_prev
2,2,1,51.0,47.0,4.0,1,0,1.0
3,4,1,50.0,47.0,3.0,1,1,0.0
4,5,1,50.0,47.0,3.0,0,0,1.0
5,6,1,54.0,47.0,7.0,1,1,0.0
6,7,1,53.0,47.0,6.0,1,0,1.0
7,9,2,53.0,65.0,-12.0,0,1,0.0
8,10,1,68.0,65.0,3.0,0,0,1.0
9,12,1,73.0,65.0,8.0,1,0,0.0
10,13,2,73.0,65.0,8.0,1,0,0.0
11,14,1,73.0,65.0,8.0,0,1,0.0
12,15,2,73.0,65.0,8.0,0,0,1.0
13,16,2,73.0,64.0,9.0,1,0,0.0
14,17,2,73.0,62.0,11.0,1,1,0.0
15,19,2,73.0,63.0,10.0,1,0,1.0
16,20,2,73.0,62.0,11.0,0,1,0.0
17,21,1,85.0,62.0,23.0,0,0,1.0
18,22,1,81.0,62.0,19.0,1,1,0.0
19,23,2,81.0,53.0,28.0,0,0,1.0
20,24,2,81.0,50.0,31.0,0,0,0.0
21,25,1,81.0,50.0,31.0,0,0,0.0
22,26,1,80.0,50.0,30.0,1,1,0.0
23,27,2,80.0,56.0,24.0,0,1,1.0
24,28,1,82.0,56.0,26.0,0,1,1.0
25,29,2,82.0,56.0,26.0,1,0,1.0
26,30,2,82.0,61.0,21.0,0,1,0.0
27,31,1,79.0,61.0,18.0,1,1,1.0
28,32,2,79.0,60.0,19.0,1,1,1.0
29,33,1,80.0,60.0,20.0,1,1,1.0
30,34,1,82.0,60.0,22.0,1,1,1.0
31,35,1,88.0,60.0,28.0,0,0,1.0
32,37,1,86.0,60.0,26.0,0,1,0.0
33,38,1,87.0,60.0,27.0,0,1,1.0
34,39,1,92.0,60.0,32.0,0,0,1.0
35,0,1,87.0,60.0,27.0,1,0,0.0
36,1,1,81.0,60.0,21.0,1,0,0.0
37,2,1,78.0,60.0,18.0,0,1,0.0
38,3,1,80.0,60.0,20.0,0,1,1.0
39,4,1,83.0,60.0,23.0,1,1,1.0
40,5,1,81.0,60.0,21.0,1,1,1.0
41,6,1,80.0,60.0,20.0,0,1,1.0
42,7,1,80.0,60.0,20.0,0,0,1.0
43,8,1,79.0,60.0,19.0,1,0,0.0
44,10,1,74.0,60.0,14.0,1,0,0.0
45,11,1,74.0,60.0,14.0,1,0,0.0
46,12,1,70.0,60.0,10.0,1,1,0.0
47,13,1,70.0,60.0,10.0,0,0,1.0
48,14,1,70.0,60.0,10.0,0,0,0.0
49,15,1,72.0,60.0,12.0,1,1,0.0
50,16,1,68.0,60.0,8.0,0,1,1.0
51,17,2,68.0,57.0,11.0,1,0,1.0
52,18,1,67.0,57.0,10.0,0,0,0.0
53,20,1,60.0,57.0,3.0,1,0,0.0
54,21,1,60.0,57.0,3.0,0,0,0.0
55,22,2,60.0,49.0,11.0,0,1,0.0
56,23,1,51.0,49.0,2.0,1,0,1.0
57,24,1,48.0,49.0,-1.0,1,1,0.0
58,25,1,50.0,49.0,1.0,1,1,1.0
59,26,1,52.0,49.0,3.0,1,0,1.0
60,27,1,49.0,49.0,0.0,1,1,0.0
61,28,1,49.0,49.0,0.0,0,1,1.0
62,29,1,49.0,49.0,0.0,0,0,1.0
63,30,1,46.0,49.0,-3.0,0,1,0.0
64,31,2,46.0,44.0,2.0,0,0,1.0
65,32,1,43.0,44.0,-1.0,0,1,0.0
66,33,2,43.0,43.0,0.0,0,1,1.0
67,34,2,43.0,39.0,4.0,1,1,1.0
68,35,1,42.0,39.0,3.0,1,1,1.0
69,36,1,44.0,39.0,5.0,1,0,1.0
70,39,1,36.0,39.0,-3.0,1,1,0.0
71,0,1,36.0,39.0,-3.0,0,1,1.0
72,1,2,36.0,37.0,-1.0,1,0,1.0
73,2,1,37.0,37.0,0.0,0,0,0.0
74,4,2,37.0,40.0,-3.0,0,0,0.0
75,5,1,37.0,40.0,-3.0,1,0,0.0
76,6,2,37.0,42.0,-5.0,0,0,0.0
77,7,1,42.0,42.0,0.0,0,0,0.0
78,8,2,42.0,47.0,-5.0,0,1,0.0
79,9,2,42.0,47.0,-5.0,0,0,1.0
80,10,1,42.0,47.0,-5.0,1,1,0.0
81,11,1,39.0,47.0,-8.0,1,1,1.0
82,12,1,38.0,47.0,-9.0,1,1,1.0
83,14,1,40.0,47.0,-7.0,0,0,1.0
84,15,1,41.0,47.0,-6.0,0,1,0.0
85,16,1,41.0,47.0,-6.0,1,0,1.0
86,17,2,41.0,49.0,-8.0,0,0,0.0
87,18,1,46.0,49.0,-3.0,1,0,0.0
88,19,2,46.0,55.0,-9.0,1,0,0.0
89,20,2,46.0,57.0,-11.0,0,0,0.0
90,21,2,46.0,59.0,-13.0,0,0,0.0
91,22,2,46.0,54.0,-8.0,1,1,0.0
92,23,2,46.0,54.0,-8.0,1,0,1.0
93,24,2,46.0,51.0,-5.0,1,1,0.0
94,25,1,39.0,51.0,-12.0,1,1,1.0
95,26,1,43.0,51.0,-8.0,1,1,1.0
96,27,2,43.0,57.0,-14.0,0,1,1.0
97,28,1,38.0,57.0,-19.0,0,1,1.0
98,29,1,40.0,57.0,-17.0,0,1,1.0
99,30,1,43.0,57.0,-14.0,1,0,1.0
100,31,1,44.0,57.0,-13.0,1,1,0.0
101,32,1,44.0,57.0,-13.0,0,1,1.0
102,33,1,41.0,57.0,-16.0,1,1,1.0
103,36,2,41.0,77.0,-36.0,1,1,1.0
104,38,2,41.0,74.0,-33.0,1,1,1.0
105,39,2,41.0,76.0,-35.0,1,1,1.0
106,0,2,41.0,77.0,-36.0,1,1,1.0
107,1,1,36.0,77.0,-41.0,0,0,1.0
108,2,1,39.0,77.0,-38.0,1,1,0.0
109,3,2,39.0,82.0,-43.0,0,1,1.0
110,4,1,38.0,82.0,-44.0,1,0,1.0
111,5,2,38.0,84.0,-46.0,1,0,0.0
112,6,2,38.0,83.0,-45.0,0,0,0.0
113,7,1,35.0,83.0,-48.0,1,1,0.0
114,8,1,35.0,83.0,-48.0,0,0,1.0
115,9,2,35.0,82.0,-47.0,1,1,0.0
116,10,2,35.0,83.0,-48.0,0,1,1.0
117,11,1,42.0,83.0,-41.0,1,1,1.0
118,13,2,42.0,84.0,-42.0,1,0,1.0
119,14,1,46.0,84.0,-38.0,0,1,0.0
120,15,1,47.0,84.0,-37.0,1,1,1.0
121,16,1,49.0,84.0,-35.0,0,1,1.0
122,17,2,49.0,78.0,-29.0,0,0,1.0
123,18,1,49.0,78.0,-29.0,1,1,0.0
124,19,1,47.0,78.0,-31.0,1,1,1.0
125,20,1,47.0,78.0,-31.0,0,0,1.0
126,21,1,49.0,78.0,-29.0,1,1,0.0
127,22,2,49.0,65.0,-16.0,0,1,1.0
128,23,1,46.0,65.0,-19.0,0,1,1.0
129,24,1,48.0,65.0,-17.0,0,0,1.0
130,25,1,42.0,65.0,-23.0,1,0,0.0
131,26,2,42.0,57.0,-15.0,1,0,0.0
132,27,2,42.0,59.0,-17.0,1,1,0.0
133,28,1,39.0,59.0,-20.0,1,0,1.0
134,29,1,36.0,59.0,-23.0,1,0,0.0
135,31,2,36.0,70.0,-34.0,0,1,0.0
136,32,2,36.0,65.0,-29.0,1,1,1.0
137,33,1,39.0,65.0,-26.0,0,0,1.0
138,34,2,39.0,69.0,-30.0,0,0,0.0
139,36,1,34.0,69.0,-35.0,0,0,0.0
140,37,1,36.0,69.0,-33.0,0,0,0.0
141,38,2,36.0,71.0,-35.0,1,0,0.0
142,39,2,36.0,69.0,-33.0,1,1,0.0
