,run,choice,star_points,pentagon_points,diff_points,is_social,aff_feedback_curr,aff_feedback_prev
6,6,1,45.0,32.0,13.0,1,1,0.0
7,7,1,49.0,32.0,17.0,1,0,1.0
8,8,1,49.0,32.0,17.0,1,1,0.0
9,9,1,46.0,32.0,14.0,0,0,1.0
10,10,2,46.0,30.0,16.0,1,0,0.0
11,11,1,47.0,30.0,17.0,1,0,0.0
12,12,2,47.0,26.0,21.0,0,1,0.0
13,13,2,47.0,30.0,17.0,0,0,1.0
14,15,2,47.0,32.0,15.0,0,0,0.0
15,16,1,46.0,32.0,14.0,1,0,0.0
16,17,1,47.0,32.0,15.0,0,0,0.0
17,18,1,48.0,32.0,16.0,1,0,0.0
18,19,1,53.0,32.0,21.0,0,0,0.0
19,20,1,57.0,32.0,25.0,0,0,0.0
20,21,1,56.0,32.0,24.0,0,1,0.0
21,23,1,54.0,32.0,22.0,1,0,1.0
22,24,2,54.0,41.0,13.0,0,1,0.0
23,26,2,54.0,39.0,15.0,1,0,1.0
24,27,1,54.0,39.0,15.0,0,0,0.0
25,28,1,55.0,39.0,16.0,0,0,0.0
26,29,1,54.0,39.0,15.0,1,1,0.0
27,30,1,54.0,39.0,15.0,0,1,1.0
28,31,1,58.0,39.0,19.0,1,1,1.0
29,32,1,56.0,39.0,17.0,0,1,1.0
30,33,1,57.0,39.0,18.0,0,0,1.0
31,34,2,57.0,42.0,15.0,1,1,0.0
32,35,1,54.0,42.0,12.0,0,1,1.0
33,36,1,51.0,42.0,9.0,0,1,1.0
34,37,1,50.0,42.0,8.0,0,0,1.0
35,38,1,56.0,42.0,14.0,1,1,0.0
36,39,2,56.0,52.0,4.0,1,0,1.0
37,0,2,56.0,53.0,3.0,0,1,0.0
38,1,2,56.0,56.0,0.0,0,1,1.0
39,2,2,56.0,57.0,-1.0,0,1,1.0
40,3,2,56.0,56.0,0.0,0,0,1.0
41,4,1,52.0,56.0,-4.0,1,0,0.0
42,5,2,52.0,56.0,-4.0,1,0,0.0
43,6,2,52.0,61.0,-9.0,1,1,0.0
44,7,2,52.0,65.0,-13.0,0,0,1.0
45,8,2,52.0,68.0,-16.0,0,0,0.0
