,run,choice,star_points,pentagon_points,diff_points,is_social,aff_feedback_curr,aff_feedback_prev
8,11,2,51.0,41.0,10.0,0,1,0.0
9,12,1,51.0,41.0,10.0,1,1,1.0
10,13,1,47.0,41.0,6.0,1,0,1.0
11,14,1,43.0,41.0,2.0,1,1,0.0
12,15,2,43.0,44.0,-1.0,1,1,1.0
13,17,1,38.0,44.0,-6.0,0,1,1.0
14,18,1,40.0,44.0,-4.0,0,1,1.0
15,19,1,35.0,44.0,-9.0,1,0,1.0
16,20,2,35.0,46.0,-11.0,1,1,0.0
17,21,1,34.0,46.0,-12.0,0,0,1.0
18,23,1,29.0,46.0,-17.0,0,0,0.0
19,25,2,29.0,49.0,-20.0,0,1,0.0
20,26,1,25.0,49.0,-24.0,1,1,1.0
21,27,1,21.0,49.0,-28.0,0,1,1.0
22,28,2,21.0,59.0,-38.0,0,1,1.0
23,29,1,24.0,59.0,-35.0,1,1,1.0
24,30,1,26.0,59.0,-33.0,0,0,1.0
25,31,1,24.0,59.0,-35.0,0,1,0.0
26,32,1,26.0,59.0,-33.0,1,0,1.0
27,33,1,30.0,59.0,-29.0,1,1,0.0
28,34,1,33.0,59.0,-26.0,1,0,1.0
29,35,1,36.0,59.0,-23.0,1,0,0.0
30,36,1,37.0,59.0,-22.0,1,0,0.0
31,37,2,37.0,64.0,-27.0,0,0,0.0
32,38,1,42.0,64.0,-22.0,1,0,0.0
33,39,1,47.0,64.0,-17.0,1,1,0.0
34,0,2,47.0,63.0,-16.0,1,0,1.0
35,1,1,41.0,63.0,-22.0,1,1,0.0
36,2,1,47.0,63.0,-16.0,1,1,1.0
37,3,2,47.0,63.0,-16.0,0,0,1.0
38,4,1,46.0,63.0,-17.0,0,0,0.0
39,5,1,51.0,63.0,-12.0,1,1,0.0
40,6,1,47.0,63.0,-16.0,0,0,1.0
41,7,1,51.0,63.0,-12.0,1,1,0.0
42,8,2,51.0,66.0,-15.0,1,0,1.0
43,9,1,53.0,66.0,-13.0,1,1,0.0
44,10,2,53.0,67.0,-14.0,1,1,1.0
45,11,1,56.0,67.0,-11.0,1,1,1.0
46,12,2,56.0,62.0,-6.0,0,0,1.0
47,13,2,56.0,64.0,-8.0,0,0,0.0
48,14,1,62.0,64.0,-2.0,1,0,0.0
49,15,1,62.0,64.0,-2.0,1,1,0.0
50,16,1,63.0,64.0,-1.0,0,1,1.0
51,17,2,63.0,66.0,-3.0,0,0,1.0
52,18,1,63.0,66.0,-3.0,1,1,0.0
