,run,choice,star_points,pentagon_points,diff_points,is_social,aff_feedback_curr,aff_feedback_prev
3,4,1,76.0,58.0,18.0,1,0,0.0
4,6,1,81.0,58.0,23.0,0,1,0.0
5,7,1,82.0,58.0,24.0,0,1,1.0
6,8,1,82.0,58.0,24.0,0,0,1.0
7,9,1,77.0,58.0,19.0,1,0,0.0
8,10,1,78.0,58.0,20.0,0,0,0.0
9,11,2,78.0,55.0,23.0,1,1,0.0
10,12,2,78.0,57.0,21.0,0,1,1.0
11,13,2,78.0,62.0,16.0,1,1,1.0
12,14,2,78.0,63.0,15.0,1,0,1.0
13,15,2,78.0,59.0,19.0,1,1,0.0
14,16,1,77.0,59.0,18.0,0,0,1.0
15,17,2,77.0,55.0,22.0,1,1,0.0
16,19,2,77.0,47.0,30.0,0,0,1.0
17,20,2,77.0,43.0,34.0,1,1,0.0
18,21,2,77.0,48.0,29.0,1,1,1.0
19,22,1,79.0,48.0,31.0,0,1,1.0
20,23,2,79.0,46.0,33.0,1,1,1.0
21,24,2,79.0,50.0,29.0,1,0,1.0
22,25,2,79.0,45.0,34.0,1,1,0.0
23,26,1,76.0,45.0,31.0,0,1,1.0
24,27,1,75.0,45.0,30.0,0,0,1.0
25,28,2,75.0,49.0,26.0,1,1,0.0
26,29,1,78.0,49.0,29.0,1,0,1.0
27,30,1,80.0,49.0,31.0,0,1,0.0
28,31,2,80.0,56.0,24.0,1,0,1.0
29,32,1,75.0,56.0,19.0,1,1,0.0
30,33,1,68.0,56.0,12.0,0,1,1.0
31,35,1,66.0,56.0,10.0,0,1,1.0
32,36,1,64.0,56.0,8.0,0,0,1.0
33,37,1,62.0,56.0,6.0,0,0,0.0
34,38,2,62.0,52.0,10.0,0,0,0.0
35,39,2,62.0,52.0,10.0,1,0,0.0
36,0,1,58.0,52.0,6.0,1,0,0.0
37,3,2,58.0,65.0,-7.0,0,0,0.0
38,4,2,58.0,61.0,-3.0,1,0,0.0
39,5,2,58.0,63.0,-5.0,1,0,0.0
40,6,1,49.0,63.0,-14.0,1,1,0.0
41,7,1,44.0,63.0,-19.0,1,1,1.0
42,8,1,45.0,63.0,-18.0,0,0,1.0
43,9,1,42.0,63.0,-21.0,0,1,0.0
44,10,1,38.0,63.0,-25.0,1,0,1.0
45,11,1,37.0,63.0,-26.0,0,1,0.0
46,12,1,35.0,63.0,-28.0,0,1,1.0
47,13,1,34.0,63.0,-29.0,1,0,1.0
48,14,1,32.0,63.0,-31.0,0,1,0.0
49,15,1,36.0,63.0,-27.0,0,0,1.0
50,16,2,36.0,73.0,-37.0,1,1,0.0
51,17,2,36.0,69.0,-33.0,1,0,1.0
52,19,2,36.0,78.0,-42.0,1,0,0.0
53,20,1,41.0,78.0,-37.0,0,1,0.0
54,21,1,43.0,78.0,-35.0,0,0,1.0
55,22,2,43.0,73.0,-30.0,1,1,0.0
56,23,2,43.0,71.0,-28.0,0,0,1.0
57,24,1,39.0,71.0,-32.0,0,0,0.0
58,25,1,40.0,71.0,-31.0,0,0,0.0
59,26,2,40.0,62.0,-22.0,1,0,0.0
60,28,1,36.0,62.0,-26.0,1,0,0.0
61,29,2,36.0,60.0,-24.0,0,1,0.0
62,30,2,36.0,56.0,-20.0,1,1,1.0
63,31,2,36.0,50.0,-14.0,0,1,1.0
64,32,2,36.0,51.0,-15.0,1,1,1.0
65,34,2,36.0,59.0,-23.0,1,1,1.0
66,35,2,36.0,57.0,-21.0,1,1,1.0
67,36,2,36.0,53.0,-17.0,0,1,1.0
68,37,2,36.0,49.0,-13.0,0,1,1.0
69,38,2,36.0,46.0,-10.0,1,0,1.0
70,39,2,36.0,48.0,-12.0,0,1,0.0
71,0,1,39.0,48.0,-9.0,1,0,1.0
72,1,2,39.0,46.0,-7.0,1,1,0.0
73,2,2,39.0,45.0,-6.0,0,0,1.0
74,3,2,39.0,45.0,-6.0,0,1,0.0
75,4,2,39.0,46.0,-7.0,0,1,1.0
76,5,2,39.0,38.0,1.0,1,0,1.0
77,6,1,42.0,38.0,4.0,1,0,0.0
78,7,2,42.0,39.0,3.0,0,1,0.0
79,8,2,42.0,41.0,1.0,0,0,1.0
80,9,2,42.0,36.0,6.0,1,0,0.0
81,10,2,42.0,34.0,8.0,0,1,0.0
82,12,2,42.0,33.0,9.0,1,0,1.0
83,13,1,46.0,33.0,13.0,1,1,0.0
84,14,1,43.0,33.0,10.0,0,1,1.0
85,17,1,48.0,33.0,15.0,1,0,1.0
86,18,2,48.0,33.0,15.0,0,0,0.0
87,19,1,51.0,33.0,18.0,0,0,0.0
88,20,1,49.0,33.0,16.0,1,0,0.0
89,21,1,50.0,33.0,17.0,0,1,0.0
90,23,2,50.0,40.0,10.0,0,1,1.0
91,27,2,50.0,48.0,2.0,1,1,1.0
92,28,2,50.0,49.0,1.0,0,0,1.0
93,29,1,60.0,49.0,11.0,1,0,0.0
94,30,2,60.0,53.0,7.0,1,1,0.0
95,31,2,60.0,55.0,5.0,1,0,1.0
96,32,1,64.0,55.0,9.0,1,1,0.0
97,33,1,57.0,55.0,2.0,0,1,1.0
98,34,1,57.0,55.0,2.0,0,0,1.0
99,35,1,62.0,55.0,7.0,1,1,0.0
100,36,1,65.0,55.0,10.0,1,1,1.0
101,37,1,71.0,55.0,16.0,1,1,1.0
102,39,1,68.0,55.0,13.0,0,0,1.0
103,0,1,67.0,55.0,12.0,0,1,0.0
104,1,1,64.0,55.0,9.0,1,1,1.0
105,2,1,63.0,55.0,8.0,1,0,1.0
106,3,1,64.0,55.0,9.0,0,1,0.0
107,4,1,65.0,55.0,10.0,0,0,1.0
108,7,2,65.0,72.0,-7.0,0,1,0.0
109,8,2,65.0,68.0,-3.0,0,0,1.0
110,9,2,65.0,69.0,-4.0,0,0,0.0
111,11,1,67.0,69.0,-2.0,1,0,0.0
112,12,2,67.0,67.0,0.0,1,0,0.0
113,13,1,59.0,67.0,-8.0,0,0,0.0
114,14,2,59.0,69.0,-10.0,1,0,0.0
115,15,1,59.0,69.0,-10.0,0,0,0.0
116,16,2,59.0,74.0,-15.0,0,1,0.0
117,18,2,59.0,71.0,-12.0,1,1,1.0
118,20,2,59.0,72.0,-13.0,0,0,1.0
119,21,1,54.0,72.0,-18.0,0,1,0.0
120,22,2,54.0,71.0,-17.0,1,1,1.0
121,23,2,54.0,71.0,-17.0,1,1,1.0
122,24,1,56.0,71.0,-15.0,1,0,1.0
123,27,2,56.0,68.0,-12.0,1,1,0.0
124,28,2,56.0,64.0,-8.0,1,1,1.0
125,29,2,56.0,60.0,-4.0,1,1,1.0
126,32,2,56.0,56.0,0.0,1,1,1.0
127,33,2,56.0,57.0,-1.0,1,1,1.0
128,35,2,56.0,51.0,5.0,0,1,1.0
129,36,2,56.0,55.0,1.0,0,0,1.0
130,37,1,66.0,55.0,11.0,0,1,0.0
131,38,2,66.0,56.0,10.0,1,1,1.0
132,39,2,66.0,53.0,13.0,0,0,1.0
