,run,choice,star_points,pentagon_points,diff_points,is_social,aff_feedback_curr,aff_feedback_prev
4,5,2,76.0,58.0,18.0,0,0,0.0
5,6,1,81.0,58.0,23.0,0,1,0.0
6,7,1,82.0,58.0,24.0,1,0,1.0
7,8,1,82.0,58.0,24.0,1,1,0.0
8,9,1,77.0,58.0,19.0,1,0,1.0
9,10,1,78.0,58.0,20.0,0,0,0.0
10,11,1,79.0,58.0,21.0,1,0,0.0
11,12,1,82.0,58.0,24.0,1,1,0.0
12,13,1,80.0,58.0,22.0,1,1,1.0
13,14,1,82.0,58.0,24.0,1,0,1.0
14,15,1,75.0,58.0,17.0,0,1,0.0
15,16,1,77.0,58.0,19.0,0,1,1.0
16,17,1,79.0,58.0,21.0,1,1,1.0
17,18,1,84.0,58.0,26.0,1,0,1.0
18,19,1,79.0,58.0,21.0,0,1,0.0
19,20,1,82.0,58.0,24.0,1,1,1.0
20,21,1,79.0,58.0,21.0,0,1,1.0
21,22,1,79.0,58.0,21.0,0,0,1.0
22,23,1,78.0,58.0,20.0,1,1,0.0
23,24,1,75.0,58.0,17.0,1,0,1.0
24,25,1,78.0,58.0,20.0,1,0,0.0
25,26,1,76.0,58.0,18.0,0,1,0.0
26,28,1,76.0,58.0,18.0,0,1,1.0
27,29,1,78.0,58.0,20.0,1,1,1.0
28,30,1,80.0,58.0,22.0,0,0,1.0
29,31,1,79.0,58.0,21.0,0,0,0.0
30,32,1,75.0,58.0,17.0,0,1,0.0
31,33,1,68.0,58.0,10.0,1,0,1.0
32,34,1,67.0,58.0,9.0,0,1,0.0
33,35,1,66.0,58.0,8.0,1,1,1.0
34,36,1,64.0,58.0,6.0,0,1,1.0
35,38,2,64.0,52.0,12.0,1,0,1.0
36,39,1,57.0,52.0,5.0,0,0,0.0
37,0,1,58.0,52.0,6.0,1,1,0.0
38,1,2,58.0,59.0,-1.0,1,0,1.0
39,2,1,51.0,59.0,-8.0,1,1,0.0
40,4,2,51.0,61.0,-10.0,1,0,1.0
41,5,2,51.0,63.0,-12.0,1,1,0.0
42,6,2,51.0,64.0,-13.0,1,1,1.0
43,7,2,51.0,64.0,-13.0,0,1,1.0
44,8,2,51.0,62.0,-11.0,0,0,1.0
45,9,1,42.0,62.0,-20.0,0,1,0.0
46,10,2,42.0,65.0,-23.0,0,1,1.0
47,11,2,42.0,67.0,-25.0,0,0,1.0
48,12,2,42.0,68.0,-26.0,1,1,0.0
49,13,2,42.0,72.0,-30.0,0,0,1.0
50,14,2,42.0,70.0,-28.0,0,1,0.0
51,15,2,42.0,74.0,-32.0,0,0,1.0
52,16,2,42.0,73.0,-31.0,1,0,0.0
53,17,2,42.0,69.0,-27.0,1,0,0.0
54,18,2,42.0,75.0,-33.0,1,1,0.0
55,20,2,42.0,73.0,-31.0,1,0,1.0
56,21,2,42.0,74.0,-32.0,0,1,0.0
57,22,2,42.0,73.0,-31.0,0,0,1.0
58,23,2,42.0,71.0,-29.0,1,0,0.0
59,24,2,42.0,72.0,-30.0,1,1,0.0
60,25,2,42.0,67.0,-25.0,0,0,1.0
61,26,2,42.0,62.0,-20.0,1,0,0.0
62,27,2,42.0,58.0,-16.0,0,1,0.0
63,28,1,36.0,58.0,-22.0,0,0,1.0
64,29,2,36.0,60.0,-24.0,0,0,0.0
65,30,2,36.0,56.0,-20.0,1,1,0.0
66,32,2,36.0,51.0,-15.0,0,1,1.0
