Npoints,lapse1,lapse2,deckchoice,RT1,RT2,choice_onset,press1_onset,info_onset,partner_onset,press2_onset,aff_onset,fix1_list,fix2_list,fix3_list,fix4_list,soc_win,block,duration,frequency,stimaff,stiminf,point_total,word,rating,is_catch,partner,highval_count
65,0,0,2,0.542380238584883,0.7511874936230925,4.782996853950863,5.33272348083301,8.766013016444049,15.265698704096849,16.01691143047401,23.28253663046189,1.75,4.75,4.75,3.25,1,3,250,55,1,0,2184,excited,0.0,0,1,77
41,0,0,1,0.5936060201693181,0.931625819470355,28.78240772400204,29.376051044764154,32.765201911399345,37.26494354994111,38.19659460216553,45.28196322527265,1.75,2.75,4.75,2.5,1,3,250,55,1,0,2225,irritable,0.0,0,0,77
61,0,0,2,0.45156975155941836,1.4605957636035782,50.031727810992834,50.483335228837404,55.01451175901184,61.51437407594176,62.97499616937557,67.53127234150088,2.75,4.75,2.75,2.5,1,3,250,55,1,0,2286,active,0.0,0,0,78
60,0,0,2,0.34275843733939837,0.8779747679773209,72.28093745897377,72.63049301509818,79.2638197781639,83.76349010674903,84.64149120455704,89.78023624440084,4.75,2.75,2.75,3.25,0,3,250,55,1,0,2286,active,0.0,0,0,79
58,0,0,2,0.6948445826924399,1.18809079841958,95.28036551655305,95.97524776553018,99.26321675191548,102.7628519740606,103.95096800523379,108.7798350801836,1.75,1.75,2.75,2.5,1,3,250,55,1,0,2344,afraid,0.0,0,1,80
37,0,0,1,0.3770215915578774,1.0082302660662208,113.52967755831787,113.90673645046854,120.51233936518065,125.01212744661734,126.02038331112999,130.02939176995324,4.75,2.75,1.75,1.75,1,3,250,55,1,0,2381,active,0.0,0,1,80
50,0,0,2,0.4329783316470639,0.0,134.02911640381353,134.46213203605294,138.01185464032187,0.0,0.0,0.0,1.75,2.75,4.75,1.75,0,3,250,55,1,0,2381,interested,7.499999999999981,1,0,81
53,0,0,2,0.3794146805626042,1.370823110715719,152.7782951508134,153.1577474976607,159.761082024369,163.26091508593208,164.63176379509378,168.27802143028748,4.75,1.75,1.75,1.75,1,3,250,55,1,0,2434,excited,0.0,0,0,82
52,0,0,2,0.4105650637529834,1.4818347942123182,172.27769047895072,172.69392852401916,176.26107269922068,179.76037843279755,181.24223955683965,184.79403453815485,1.75,1.75,1.75,2.5,1,3,250,55,1,0,2486,enthusiastic,0.0,0,1,83
51,0,0,2,0.37631909706215083,1.1429750001916545,189.52746658397155,189.90382407870266,194.52674031949073,198.02662238379298,199.16962371381533,204.04362962559344,2.75,1.75,2.75,1.75,0,3,250,55,1,0,2486,afraid,0.0,0,0,84
51,0,0,2,0.24399926715295805,1.046268093987237,208.04327782980772,208.29284951295313,215.02618135913872,218.52578184053573,219.57207553296894,226.54313502704827,4.75,1.75,4.75,3.25,1,3,250,55,1,0,2537,hostile,0.0,0,1,85
55,0,0,22,0.0,1.1031562518169267,0.0,0.0,0.0,231.27554350071932,232.37872498528986,239.29210679232847,1.75,1.75,4.75,2.5,1,3,250,55,1,0,2592,upset,-7.499999999999981,2,0,85
57,0,0,2,0.387215989813285,1.165694718053146,250.54191727240504,250.92917056281112,254.52475717131347,258.02438361684835,259.19010466473173,263.0417130333758,1.75,1.75,1.75,1.75,0,3,250,55,1,0,2592,determined,0.0,0,1,86
61,0,0,2,0.4348813932574558,1.824576775407877,267.0411242691189,267.47603491774316,271.0243123068917,274.52403163821646,276.34863364637795,279.5411025104395,1.75,1.75,1.75,2.5,1,3,250,55,1,0,2653,afraid,0.0,0,1,87
59,0,0,2,0.3244994315314216,0.0,284.2908184591124,284.615355556929,289.27361118374165,0.0,0.0,0.0,2.75,2.75,2.75,2.5,1,3,250,55,1,0,2653,proud,7.499999999999981,1,1,88
56,0,0,2,0.48962220716384763,1.2387040457615512,302.79032495764386,303.27998409970814,306.77289497579295,310.27306886237966,311.51179887227863,315.28990349751575,1.75,1.75,1.75,1.75,0,3,250,55,1,0,2653,proud,0.0,0,0,89
52,0,0,2,0.4516414272084148,1.231880597145846,319.2898881384481,319.74156796332545,324.2725887086717,328.77241518777737,330.00432174906155,333.78932990948033,2.75,2.75,1.75,3.25,0,3,250,55,1,0,2653,upset,0.0,0,0,90
53,0,0,2,0.4911325154748738,1.3619196055205975,339.2889965811446,339.7801674942889,343.27198604811565,346.7717920484647,348.1337376181232,352.7890618571819,1.75,1.75,2.75,1.75,0,3,250,55,1,0,2653,nervous,0.0,0,1,91
56,0,0,2,0.4709229080858677,1.4671676160642164,356.78861754129866,357.27141191154215,361.77128007954525,365.2710666982139,366.7382606441083,370.28830030341487,2.75,1.75,1.75,1.75,1,3,250,55,1,0,2709,guilty,0.0,0,1,92
59,0,0,2,0.6033034428814972,1.3291883354463607,374.2878530619946,374.891187223011,378.27074306071836,384.77053114215505,386.0997447103555,390.7875738560879,1.75,4.75,2.75,1.75,1,3,250,55,1,0,2768,active,0.0,0,1,93
56,0,0,2,0.5642519165007798,1.2211179133901169,394.78735809775753,395.3701447518979,399.7700721985884,403.2701736781419,404.4913175556703,408.3037884602936,2.75,1.75,1.75,1.75,1,3,250,55,1,0,2824,interested,0.0,0,0,94
57,0,0,2,0.4313265004989262,1.4966149712145125,412.2867296559093,412.7180930913087,416.2702270691866,420.76924244324755,422.26588374429184,425.7866215938984,1.75,2.75,1.75,1.75,0,3,250,55,1,0,2824,jittery,0.0,0,0,95
56,0,0,2,0.5703421524854093,1.2512461872029235,429.7863268460778,430.36895405846917,434.7855694977693,441.2852690817217,442.5365394046021,446.30236920931156,2.75,4.75,1.75,1.75,0,3,250,55,1,0,2824,enthusiastic,0.0,0,1,96
61,0,0,2,0.40494913040220126,1.2861898943915548,450.30217685527487,450.7182847139611,457.28486206643083,461.7847178009033,463.0709358535855,467.8015641381862,4.75,2.75,2.75,1.75,0,3,250,55,1,0,2824,irritable,0.0,0,0,97
58,0,0,2,0.35822867530623625,1.1690715187664864,471.80145333348446,472.15972040645966,475.7843883123346,480.2843625310429,481.4534611110239,486.3011247591462,1.75,2.75,2.75,1.75,1,3,250,55,1,0,2882,attentive,0.0,0,0,98
60,0,0,2,0.39725716308475967,1.1794224332347767,490.3008735286835,490.71712510435964,494.28380119369194,497.78359914881503,498.9630475461877,503.8006612444283,1.75,1.75,2.75,1.75,0,3,250,55,1,0,2882,determined,0.0,0,0,99
0,0,1,0,0.5113326148702981,0.0,507.80039246074557,508.3117631075929,511.7831354512514,515.2830138586328,0.0,0.0,1.75,1.75,1.75,1.75,0,3,250,55,1,0,2882,guilty,0.0,0,0,100
57,0,0,2,0.4455372949246339,0.0,524.2997727955076,524.7453477567169,531.2825582062951,0.0,0.0,0.0,4.75,1.75,1.75,2.5,0,3,250,55,1,0,2882,guilty,-7.499999999999981,1,0,101
36,0,0,1,0.374688476054871,1.0296638448644444,542.7991527645772,543.1738785412249,546.7820376436121,551.2820502599889,552.3117397032993,559.2990041107446,1.75,2.75,4.75,3.25,0,3,250,55,1,0,2882,enthusiastic,0.0,0,1,101
54,0,0,2,0.3776567987092676,1.216990346826151,564.7986711481012,565.181340122529,571.7814346173636,575.2809945069394,576.4980100865191,583.2977439358197,4.75,1.75,4.75,2.5,0,3,250,55,1,0,2882,guilty,0.0,0,0,102
50,0,0,2,0.3758941628593675,1.2382761860217215,588.0478328904192,588.4305442851287,595.0306300033535,599.5302754648769,600.7685776150365,607.5478451411041,4.75,2.75,4.75,1.75,1,3,250,55,1,0,2932,jittery,0.0,0,1,103
50,0,0,2,0.45013294735736054,1.3771803019226354,611.5469184773606,612.0131992901188,615.5297517938111,619.0298814316552,620.4070884291004,624.046744225082,1.75,1.75,1.75,1.75,0,3,250,55,1,0,2932,afraid,0.0,0,1,104
46,0,0,2,0.4432528164688847,1.151120791386802,628.046533586441,628.489824069195,633.0293778736541,636.5293546522066,637.6805028705003,641.5629570008277,2.75,1.75,1.75,3.25,1,3,250,55,1,0,2978,nervous,0.0,0,1,105
49,0,0,2,0.38031208893926305,1.372570021806041,647.045918126662,647.4457702407826,652.0286483179443,658.5284488329121,659.9011099120476,663.5454330361113,2.75,4.75,1.75,2.5,0,3,250,55,1,0,2978,inspired,0.0,0,1,106
44,0,0,22,0.0,1.2567195006399743,0.0,0.0,0.0,667.5280761926774,668.7848220231476,673.5452143522443,1.75,1.75,2.75,3.25,0,3,250,55,1,0,2978,upset,-7.499999999999981,2,0,106
28,0,0,11,0.0,0.7512452729724828,0.0,0.0,0.0,684.7942627300158,685.5455346985109,689.8115065745951,2.75,2.75,1.75,1.75,1,3,250,55,1,0,3006,scared,-7.499999999999981,2,1,106
43,0,0,2,0.5799225537298298,1.0901672346476516,702.3108828867439,702.910376183791,707.2936642749187,713.7933748296332,714.8835683941106,718.8105228628865,2.75,4.75,1.75,2.5,1,3,250,55,1,0,3049,jittery,0.0,0,1,107
26,0,0,1,0.4100962464995064,1.2176229941333077,723.5601590906849,723.9702933691615,728.5432461974419,732.042562536089,733.2602111286683,737.0601267269353,2.75,1.75,1.75,1.75,1,3,250,55,1,0,3075,ashamed,0.0,0,0,107
38,0,0,2,0.43852697765305493,0.987553669884619,741.0592512600838,741.5090620327142,745.0424243044813,751.5420858564562,752.5296654904791,757.5587639753799,1.75,4.75,2.75,3.25,0,3,250,55,1,0,3075,enthusiastic,0.0,0,0,108
37,0,0,2,0.2763187679393013,1.110686948924922,763.0589016584504,763.3352584583668,767.0417766637988,773.5414875842048,774.6522001315757,778.5583723191571,1.75,4.75,1.75,2.5,0,3,250,55,1,0,3075,excited,0.0,0,1,109
