,run,choice,star_points,pentagon_points,diff_points,is_social,aff_feedback_curr,aff_feedback_prev
2,3,1,73.0,58.0,15.0,0,1,1.0
3,4,1,76.0,58.0,18.0,0,1,1.0
4,5,2,76.0,58.0,18.0,1,1,1.0
5,6,2,76.0,57.0,19.0,0,1,1.0
6,7,2,76.0,61.0,15.0,0,1,1.0
7,8,1,82.0,61.0,21.0,1,0,1.0
8,10,2,82.0,56.0,26.0,0,0,0.0
9,11,2,82.0,55.0,27.0,1,0,0.0
10,12,1,82.0,55.0,27.0,1,0,0.0
11,13,1,80.0,55.0,25.0,1,0,0.0
12,14,2,80.0,63.0,17.0,0,0,0.0
13,15,2,80.0,59.0,21.0,1,1,0.0
14,16,2,80.0,61.0,19.0,0,0,1.0
15,17,2,80.0,55.0,25.0,1,0,0.0
16,18,1,84.0,55.0,29.0,1,1,0.0
17,20,1,82.0,55.0,27.0,0,1,1.0
18,21,2,82.0,48.0,34.0,0,0,1.0
19,22,1,79.0,48.0,31.0,1,0,0.0
20,23,2,79.0,46.0,33.0,1,0,0.0
21,24,1,75.0,46.0,29.0,0,0,0.0
22,25,2,75.0,45.0,30.0,1,1,0.0
23,27,1,75.0,45.0,30.0,0,1,1.0
24,28,1,76.0,45.0,31.0,1,1,1.0
25,29,1,78.0,45.0,33.0,1,1,1.0
26,30,1,80.0,45.0,35.0,0,1,1.0
27,31,2,80.0,56.0,24.0,0,1,1.0
28,32,1,75.0,56.0,19.0,1,0,1.0
29,33,2,75.0,55.0,20.0,0,0,0.0
30,34,2,75.0,55.0,20.0,0,1,0.0
31,35,2,75.0,58.0,17.0,0,0,1.0
32,36,2,75.0,55.0,20.0,0,1,0.0
33,37,2,75.0,50.0,25.0,1,1,1.0
34,38,1,61.0,50.0,11.0,1,0,1.0
35,39,1,57.0,50.0,7.0,0,1,0.0
36,0,2,57.0,56.0,1.0,0,0,1.0
37,1,1,57.0,56.0,1.0,1,1,0.0
38,2,1,51.0,56.0,-5.0,1,0,1.0
39,3,2,51.0,65.0,-14.0,1,1,0.0
40,4,2,51.0,61.0,-10.0,0,0,1.0
41,5,1,50.0,61.0,-11.0,1,0,0.0
42,6,2,50.0,64.0,-14.0,0,0,0.0
43,7,1,44.0,64.0,-20.0,1,0,0.0
44,8,2,44.0,62.0,-18.0,1,1,0.0
45,9,2,44.0,68.0,-24.0,1,1,1.0
46,10,2,44.0,65.0,-21.0,0,0,1.0
47,12,1,35.0,65.0,-30.0,1,1,0.0
48,13,1,34.0,65.0,-31.0,0,1,1.0
49,14,1,32.0,65.0,-33.0,0,1,1.0
50,15,2,32.0,74.0,-42.0,1,1,1.0
51,16,2,32.0,73.0,-41.0,0,1,1.0
52,17,2,32.0,69.0,-37.0,0,1,1.0
53,18,2,32.0,75.0,-43.0,0,0,1.0
54,19,1,41.0,75.0,-34.0,0,1,0.0
55,20,2,41.0,73.0,-32.0,0,0,1.0
56,21,1,43.0,73.0,-30.0,1,0,0.0
57,22,1,40.0,73.0,-33.0,0,1,0.0
58,24,1,39.0,73.0,-34.0,1,0,1.0
59,25,2,39.0,67.0,-28.0,0,1,0.0
60,26,2,39.0,62.0,-23.0,1,0,1.0
61,28,1,36.0,62.0,-26.0,1,0,0.0
62,31,1,30.0,62.0,-32.0,1,1,0.0
63,32,1,30.0,62.0,-32.0,1,0,1.0
64,33,2,30.0,55.0,-25.0,1,1,0.0
65,34,2,30.0,59.0,-29.0,1,1,1.0
66,35,2,30.0,57.0,-27.0,0,1,1.0
67,37,1,36.0,57.0,-21.0,1,1,1.0
68,38,2,36.0,46.0,-10.0,0,1,1.0
69,39,2,36.0,48.0,-12.0,0,0,1.0
70,0,1,39.0,48.0,-9.0,1,1,0.0
71,1,1,38.0,48.0,-10.0,0,1,1.0
72,2,2,38.0,45.0,-7.0,0,0,1.0
73,3,2,38.0,45.0,-7.0,1,0,0.0
74,4,1,39.0,45.0,-6.0,1,1,0.0
75,5,2,39.0,38.0,1.0,0,1,1.0
76,6,2,39.0,41.0,-2.0,1,0,1.0
77,7,1,47.0,41.0,6.0,0,0,0.0
78,8,1,52.0,41.0,11.0,0,1,0.0
79,9,2,52.0,36.0,16.0,1,0,1.0
80,10,2,52.0,34.0,18.0,0,0,0.0
81,11,2,52.0,33.0,19.0,1,1,0.0
82,12,1,48.0,33.0,15.0,1,0,1.0
83,13,1,46.0,33.0,13.0,0,1,0.0
84,14,2,46.0,36.0,10.0,1,1,1.0
85,15,1,48.0,36.0,12.0,0,1,1.0
86,16,1,48.0,36.0,12.0,1,0,1.0
87,18,2,48.0,33.0,15.0,0,0,0.0
88,19,2,48.0,31.0,17.0,0,0,0.0
89,20,2,48.0,35.0,13.0,0,0,0.0
90,21,2,48.0,33.0,15.0,1,1,0.0
91,22,2,48.0,37.0,11.0,0,0,1.0
