,run,choice,star_points,pentagon_points,diff_points,is_social,aff_feedback_curr,aff_feedback_prev
2,3,1,48.0,30.0,18.0,1,1,0.0
3,4,1,45.0,30.0,15.0,0,1,1.0
4,5,2,45.0,32.0,13.0,1,0,1.0
5,6,2,45.0,36.0,9.0,1,1,0.0
6,7,2,45.0,39.0,6.0,1,0,1.0
7,9,1,46.0,39.0,7.0,1,0,0.0
8,10,2,46.0,30.0,16.0,0,0,0.0
9,11,1,47.0,30.0,17.0,0,0,0.0
10,12,2,47.0,26.0,21.0,0,0,0.0
11,13,2,47.0,30.0,17.0,0,1,0.0
12,14,2,47.0,30.0,17.0,1,0,1.0
13,15,2,47.0,32.0,15.0,0,1,0.0
14,16,1,46.0,32.0,14.0,0,0,1.0
15,17,2,46.0,33.0,13.0,1,0,0.0
16,18,1,48.0,33.0,15.0,0,0,0.0
17,19,2,48.0,35.0,13.0,0,0,0.0
18,20,2,48.0,41.0,7.0,0,1,0.0
19,21,2,48.0,39.0,9.0,1,1,1.0
20,22,1,58.0,39.0,19.0,1,1,1.0
21,23,2,58.0,39.0,19.0,0,1,1.0
22,24,2,58.0,41.0,17.0,1,0,1.0
23,25,1,57.0,41.0,16.0,1,1,0.0
24,27,1,54.0,41.0,13.0,1,0,1.0
25,29,2,54.0,33.0,21.0,0,1,0.0
26,30,2,54.0,35.0,19.0,1,1,1.0
27,31,2,54.0,37.0,17.0,0,1,1.0
28,32,1,56.0,37.0,19.0,1,0,1.0
29,33,2,56.0,44.0,12.0,0,1,0.0
30,34,2,56.0,42.0,14.0,1,1,1.0
31,35,2,56.0,40.0,16.0,0,0,1.0
32,36,1,51.0,40.0,11.0,0,0,0.0
33,37,2,51.0,45.0,6.0,1,0,0.0
34,38,1,56.0,45.0,11.0,0,1,0.0
35,39,2,56.0,52.0,4.0,1,0,1.0
36,0,1,55.0,52.0,3.0,1,0,0.0
37,1,1,58.0,52.0,6.0,1,0,0.0
38,2,2,58.0,57.0,1.0,0,0,0.0
39,3,1,49.0,57.0,-8.0,0,1,0.0
40,4,2,49.0,54.0,-5.0,0,1,1.0
41,5,1,47.0,54.0,-7.0,1,0,1.0
42,6,2,47.0,61.0,-14.0,0,1,0.0
43,7,2,47.0,65.0,-18.0,0,1,1.0
44,8,2,47.0,68.0,-21.0,0,0,1.0
45,9,2,47.0,73.0,-26.0,0,0,0.0
46,10,1,44.0,73.0,-29.0,1,1,0.0
47,11,1,37.0,73.0,-36.0,1,1,1.0
48,12,1,37.0,73.0,-36.0,0,1,1.0
49,13,2,37.0,73.0,-36.0,0,0,1.0
50,15,1,36.0,73.0,-37.0,1,0,0.0
51,17,2,36.0,72.0,-36.0,1,0,0.0
52,19,1,44.0,72.0,-28.0,0,0,0.0
53,20,2,44.0,73.0,-29.0,0,0,0.0
54,21,2,44.0,73.0,-29.0,1,1,0.0
55,22,2,44.0,71.0,-27.0,1,0,1.0
56,23,2,44.0,69.0,-25.0,1,0,0.0
57,24,2,44.0,69.0,-25.0,0,1,0.0
58,25,2,44.0,76.0,-32.0,1,0,1.0
59,26,1,50.0,76.0,-26.0,1,1,0.0
60,27,1,50.0,76.0,-26.0,0,1,1.0
61,28,2,50.0,67.0,-17.0,0,1,1.0
62,29,1,49.0,67.0,-18.0,0,0,1.0
63,30,2,49.0,61.0,-12.0,1,1,0.0
64,31,1,49.0,61.0,-12.0,0,1,1.0
65,32,2,49.0,65.0,-16.0,0,0,1.0
66,33,1,42.0,65.0,-23.0,0,1,0.0
67,34,1,42.0,65.0,-23.0,1,1,1.0
68,35,1,43.0,65.0,-22.0,1,1,1.0
69,36,2,43.0,68.0,-25.0,0,0,1.0
