index,onset,duration,trial_type,choice_RT,partner_RT,points,trialn
0,,,partner-non_social_choice-choice_pentagon_catch,0.0,,,1
1,0.0,1.5,partner-non_social_feedback-informative_catch,,,69.0,2
2,4.024430149082036,1.7300699827501376,partner-non_social_feedback-partner_catch,,1.7300699827501376,,3
3,11.771176483278394,1.5,partner-non_social_feedback-affective_catch,,,,4
0,25.029448194225548,0.571544078309671,partner-social_choice-choice_pentagon,0.571544078309671,,,5
1,29.2866718278201,1.5,partner-social_feedback-informative,,,64.0,6
2,35.515085402214034,1.297869360412733,partner-social_feedback-partner,,1.297869360412733,,7
3,41.27588533463131,1.5,partner-social_feedback-affective,,,,8
0,45.53423420689069,0.6163952794850047,partner-social_choice-choice_pentagon,0.6163952794850047,,,9
1,50.777428378027246,1.5,partner-social_feedback-informative,,,63.0,10
2,54.01596690620863,1.3304519129596883,partner-social_feedback-partner,,1.3304519129596883,,11
3,61.7638432330823,1.5,partner-social_feedback-affective,,,,12
0,66.79065112079479,0.31565486000909004,partner-social_choice-choice_pentagon,0.31565486000909004,,,13
1,72.03357760435028,1.5,partner-social_feedback-informative,,,74.0,14
2,0.0,0.0,partner-social_feedback-partner,,0.0,,15
3,0.0,1.5,partner-social_feedback-affective,,,,16
0,82.53600489444216,1.0598044052167097,partner-non_social_choice-choice_pentagon,1.0598044052167097,,,17
1,86.77654998242724,1.5,partner-non_social_feedback-informative,,,65.0,18
2,93.02138428856779,1.6423818197690707,partner-non_social_feedback-partner,,1.6423818197690707,,19
3,97.76313963893699,1.5,partner-non_social_feedback-affective,,,,20
0,102.03931679691959,0.3080594076272973,partner-social_choice-choice_pentagon,0.3080594076272973,,,21
1,106.29596665753706,1.5,partner-social_feedback-informative,,,71.0,22
2,109.51876647220342,1.259450340843614,partner-social_feedback-partner,,1.259450340843614,,23
3,115.26203689042086,1.5,partner-social_feedback-affective,,,,24
0,120.28967599928365,0.5773706716063316,partner-social_choice-choice_pentagon,0.5773706716063316,,,25
1,124.52992706976148,1.5,partner-social_feedback-informative,,,66.0,26
2,127.76904961033506,1.27483140619006,partner-social_feedback-partner,,1.27483140619006,,27
3,133.52971533326854,1.5,partner-social_feedback-affective,,,,28
0,137.7885045004041,0.3753290783679404,partner-social_choice-choice_pentagon,0.3753290783679404,,,29
1,143.0308286868931,1.5,partner-social_feedback-informative,,,72.0,30
2,147.2721391712148,1.250478052726976,partner-social_feedback-partner,,1.250478052726976,,31
3,155.01911698934782,1.5,partner-social_feedback-affective,,,,32
0,159.29508716485358,0.3411158988492389,partner-non_social_choice-choice_pentagon,0.3411158988492389,,,33
1,164.53808459293214,1.5,partner-non_social_feedback-informative,,,68.0,34
2,167.7762519422904,1.1878003942911164,partner-non_social_feedback-partner,,1.1878003942911164,,35
3,172.51876866636303,1.5,partner-non_social_feedback-affective,,,,36
0,,,partner-social_choice-choice_pentagon_catch,0.0,,,37
1,0.0,1.5,partner-social_feedback-informative_catch,,,67.0,38
