onset	duration	trial_type	choice_RT	partner_RT	points	trialn
4.7839291924592535	0.4445416383405245	partner-non_social_choice-choice_pentagon	0.4445416383405245			1
10.033115975763394	1.5	partner-non_social_feedback-informative			67.0	2
14.26590421468427	1.2976334708473587	partner-non_social_feedback-partner		1.2976334708473587		3
19.01547443034633	1.5	partner-non_social_feedback-affective				4
23.28339619039707	0.9038522792561708	partner-social_choice-choice_pentagon	0.9038522792561708			5
27.532370869965234	1.5	partner-social_feedback-informative			64.0	6
30.76553504447384	1.0476436189146623	partner-social_feedback-partner		1.0476436189146623		7
35.51555835760064	1.5	partner-social_feedback-affective				8
39.78309394257303	0.4548959576322886	partner-non_social_choice-choice_pentagon	0.4548959576322886			9
45.032052897208814	1.5	partner-non_social_feedback-informative			74.0	10
49.26506823340607	1.1478483721593875	partner-non_social_feedback-partner		1.1478483721593875		11
55.015238922059325	1.5	partner-non_social_feedback-affective				12
59.28281217373024	0.4099292341479668	partner-social_choice-choice_pentagon	0.4099292341479668			13
66.53184646176214	1.5	partner-social_feedback-informative			74.0	14
72.76471771369687	0.9878998475414846	partner-social_feedback-partner		0.9878998475414846		15
78.51432376757656	1.5	partner-social_feedback-affective				16
82.78225576711884	3.0	partner-social_choice-choice_star_lapse	1.341232125231727			17
88.0315025245827	1.5	partner-social_feedback-informative_lapse			0.0	18
91.26464804859094	3.0	partner-social_feedback-partner_lapse		0.0		19
0.0	1.5	partner-social_feedback-affective_lapse				20
104.78191859531763	0.407145555457646	partner-non_social_choice-choice_pentagon	0.407145555457646			21
110.0306446015393	1.5	partner-non_social_feedback-informative			64.0	22
116.263858145021	0.7508007830283532	partner-non_social_feedback-partner		0.7508007830283532		23
122.0140251767134	1.5	partner-non_social_feedback-affective				24
126.28167632165331	0.6101354136080772	partner-social_choice-choice_pentagon	0.6101354136080772			25
131.5313410697563	1.5	partner-social_feedback-informative			66.0	26
135.76363964160282	1.063168149626108	partner-social_feedback-partner		1.063168149626108		27
140.51293558519228	1.5	partner-social_feedback-affective				28
144.78099338419182	3.0	partner-social_choice-choice_star_lapse	0.0			29
0.0	1.5	partner-social_feedback-informative_lapse			0.0	30
0.0	3.0	partner-social_feedback-partner_lapse		0.0		31
0.0	1.5	partner-social_feedback-affective_lapse				32
166.7808109018397	3.0	partner-social_choice-choice_star_lapse	0.0			33
0.0	1.5	partner-social_feedback-informative_lapse			0.0	34
0.0	3.0	partner-social_feedback-partner_lapse		0.0		35
0.0	1.5	partner-social_feedback-affective_lapse				36
188.0471535861443	0.512836481550039	partner-social_choice-choice_pentagon	0.512836481550039			37
195.2961147349561	1.5	partner-social_feedback-informative			67.0	38
201.52878009998855	1.4029126231343978	partner-social_feedback-partner		1.4029126231343978		39
206.27848013776475	1.5	partner-social_feedback-affective				40
210.5482980320794	2.0481574219302274	partner-social_choice-choice_pentagon	2.0481574219302274			41
217.7955894125125	1.5	partner-social_feedback-informative			66.0	42
224.02884245117275	1.3896082334285893	partner-social_feedback-partner		1.3896082334285893		43
229.77852347275257	1.5	partner-social_feedback-affective				44
235.54622380381718	0.34300026586060994	partner-social_choice-choice_pentagon	0.34300026586060994			45
240.79602934491774	1.5	partner-social_feedback-informative			67.0	46
247.02836741194284	1.2947872581235058	partner-social_feedback-partner		1.2947872581235058		47
251.7782137281584	1.5	partner-social_feedback-affective				48
256.7958417428199	0.40710240331827663	partner-social_choice-choice_pentagon	0.40710240331827663			49
264.04477948708154	1.5	partner-social_feedback-informative			67.0	50
267.27799412765216	2.21375777972753	partner-social_feedback-partner		2.21375777972753		51
273.02782910728814	1.5	partner-social_feedback-affective				52
278.79557332188506	3.0	partner-non_social_choice-choice_star_lapse	0.38506738499199855			53
283.045530626865	1.5	partner-non_social_feedback-informative_lapse			0.0	54
286.2775165285493	3.0	partner-non_social_feedback-partner_lapse		0.0		55
0.0	1.5	partner-non_social_feedback-affective_lapse				56
298.295300329748	0.3430682853349936	partner-social_choice-choice_pentagon	0.3430682853349936			57
303.54394551713267	1.5	partner-social_feedback-informative			69.0	58
0.0	0.0	partner-social_feedback-partner		0.0		59
0.0	1.5	partner-social_feedback-affective				60
314.0448094741623	0.7343594522026251	partner-social_choice-choice_pentagon	0.7343594522026251			61
319.2938284029578	1.5	partner-social_feedback-informative			70.0	62
323.5271161827468	1.3871390533813608	partner-social_feedback-partner		1.3871390533813608		63
328.27640956646337	1.5	partner-social_feedback-affective				64
333.2943166072473	3.0	partner-non_social_choice-choice_star_lapse	0.3455155236160863			65
337.54439971168534	1.5	partner-non_social_feedback-informative_lapse			0.0	66
340.77652677206237	3.0	partner-non_social_feedback-partner_lapse		0.0		67
0.0	1.5	partner-non_social_feedback-affective_lapse				68
352.7943793241275	0.5871594592235851	partner-non_social_choice-choice_pentagon	0.5871594592235851			69
357.0433141428212	1.5	partner-non_social_feedback-informative			58.0	70
360.27638872178613	1.0410515810690413	partner-non_social_feedback-partner		1.0410515810690413		71
368.02611179841637	1.5	partner-non_social_feedback-affective				72
372.29375124108077	1.1066084575995774	partner-social_choice-choice_pentagon	1.1066084575995774			73
