index,onset,duration,trial_type,choice_RT,partner_RT,points,trialn
0,4.7828943976132905,0.3980635070511198,partner-social_choice-choice_pentagon,0.3980635070511198,,,1
1,10.016110258029583,1.5,partner-social_feedback-informative,,,42.0,2
2,13.265847050188768,1.2578891956241025,partner-social_feedback-partner,,1.2578891956241025,,3
3,18.0157416390598,1.5,partner-social_feedback-affective,,,,4
0,23.032375935763863,3.0,partner-social_choice-choice_star_lapse,0.0,,,5
1,0.0,1.5,partner-social_feedback-informative_lapse,,,0.0,6
2,0.0,3.0,partner-social_feedback-partner_lapse,,0.0,,7
3,0.0,1.5,partner-social_feedback-affective_lapse,,,,8
0,47.2817133907056,0.6633466579824017,partner-non_social_choice-choice_pentagon,0.6633466579824017,,,9
1,51.51499873287229,1.5,partner-non_social_feedback-informative,,,66.0,10
2,55.76474357028701,1.1240560081419062,partner-non_social_feedback-partner,,1.1240560081419062,,11
3,60.51469301317139,1.5,partner-non_social_feedback-affective,,,,12
0,65.53120663104572,0.57246452865229,partner-non_social_choice-choice_pentagon,0.57246452865229,,,13
1,72.76436251774066,1.5,partner-non_social_feedback-informative,,,63.0,14
2,76.01407371136065,1.3242991211291155,partner-non_social_feedback-partner,,1.3242991211291155,,15
3,81.76394160461177,1.5,partner-non_social_feedback-affective,,,,16
0,87.53054838288563,0.525435623147132,partner-non_social_choice-choice_pentagon,0.525435623147132,,,17
1,92.76384030753344,1.5,partner-non_social_feedback-informative,,,58.0,18
2,96.01351456611746,1.1975823276461597,partner-non_social_feedback-partner,,1.1975823276461597,,19
3,100.76339489294514,1.5,partner-non_social_feedback-affective,,,,20
0,105.78007051300574,0.4847273627547111,partner-non_social_choice-choice_pentagon,0.4847273627547111,,,21
1,110.01331160626795,1.5,partner-non_social_feedback-informative,,,63.0,22
2,114.26301731448666,1.2986124494473188,partner-non_social_feedback-partner,,1.2986124494473188,,23
3,119.01290568656941,1.5,partner-non_social_feedback-affective,,,,24
0,123.27952727542696,0.0007251700567394438,partner-non_social_choice-choice_pentagon,0.0007251700567394438,,,25
1,128.51307811101788,1.5,partner-non_social_feedback-informative,,,61.0,26
2,132.7624941900458,1.190671087656483,partner-non_social_feedback-partner,,1.190671087656483,,27
3,137.51244363293017,1.5,partner-non_social_feedback-affective,,,,28
0,142.52902819532846,3.0,partner-social_choice-choice_star_lapse,0.6579943690530854,,,29
1,146.7789083393095,1.5,partner-social_feedback-informative_lapse,,,0.0,30
2,153.01193074790538,3.0,partner-social_feedback-partner_lapse,,0.0,,31
3,0.0,1.5,partner-social_feedback-affective_lapse,,,,32
0,163.02840669935722,0.5620660361864793,partner-non_social_choice-choice_pentagon,0.5620660361864793,,,33
1,168.27830037399463,1.5,partner-non_social_feedback-informative,,,66.0,34
2,172.51140652638423,1.1508134301643622,partner-non_social_feedback-partner,,1.1508134301643622,,35
3,180.26117933934572,1.5,partner-non_social_feedback-affective,,,,36
0,186.0277671015615,1.0072498720987824,partner-social_choice-choice_pentagon,1.0072498720987824,,,37
1,193.2777061221832,1.5,partner-social_feedback-informative,,,53.0,38
2,196.51068940158302,1.2801452973108098,partner-social_feedback-partner,,1.2801452973108098,,39
3,201.26056607147618,1.5,partner-social_feedback-affective,,,,40
0,205.52721143040614,0.5163832481694044,partner-social_choice-choice_pentagon,0.5163832481694044,,,41
1,209.7771957970126,1.5,partner-social_feedback-informative,,,67.0,42
2,214.01028220195712,1.098081170043315,partner-social_feedback-partner,,1.098081170043315,,43
3,218.7600714711225,1.5,partner-social_feedback-affective,,,,44
0,223.02679289428443,3.0,partner-social_choice-choice_star_lapse,0.0,,,45
1,0.0,1.5,partner-social_feedback-informative_lapse,,,0.0,46
2,0.0,3.0,partner-social_feedback-partner_lapse,,0.0,,47
3,0.0,1.5,partner-social_feedback-affective_lapse,,,,48
0,242.52617724940774,3.0,partner-social_choice-choice_star_lapse,0.0,,,49
1,0.0,1.5,partner-social_feedback-informative_lapse,,,0.0,50
2,0.0,3.0,partner-social_feedback-partner_lapse,,0.0,,51
3,0.0,1.5,partner-social_feedback-affective_lapse,,,,52
0,264.54220083809605,0.3961750662178929,partner-social_choice-choice_pentagon,0.3961750662178929,,,53
1,268.775446685373,1.5,partner-social_feedback-informative,,,64.0,54
2,272.0252690497932,1.319866916849605,partner-social_feedback-partner,,1.319866916849605,,55
3,277.7750685583742,1.5,partner-social_feedback-affective,,,,56
0,283.54184026438185,0.6590512230432068,partner-social_choice-choice_pentagon,0.6590512230432068,,,57
1,287.77504076567453,1.5,partner-social_feedback-informative,,,66.0,58
2,292.02465358776317,1.119011267379847,partner-social_feedback-partner,,1.119011267379847,,59
3,296.77459681385966,1.5,partner-social_feedback-affective,,,,60
0,301.0411763479733,0.5953598624405458,partner-non_social_choice-choice_pentagon,0.5953598624405458,,,61
1,306.2745147156861,1.5,partner-non_social_feedback-informative,,,65.0,62
2,0.0,0.0,partner-non_social_feedback-partner,,0.0,,63
3,0.0,1.5,partner-non_social_feedback-affective,,,,64
0,318.2906933583858,1.2275227452164472,partner-social_choice-choice_pentagon,1.2275227452164472,,,65
1,323.52388179179525,1.5,partner-social_feedback-informative,,,68.0,66
2,326.7737538905208,1.2741994879561391,partner-social_feedback-partner,,1.2741994879561391,,67
3,331.52353548012434,1.5,partner-social_feedback-affective,,,,68
0,335.7902133857688,0.7986170206154384,partner-non_social_choice-choice_pentagon,0.7986170206154384,,,69
1,343.0233593987414,1.5,partner-non_social_feedback-informative,,,64.0,70
2,349.27312142374694,1.1903909664947605,partner-non_social_feedback-partner,,1.1903909664947605,,71
3,354.02295311334916,1.5,partner-non_social_feedback-affective,,,,72
0,358.28956629125787,0.5399181797538404,partner-non_social_choice-choice_pentagon,0.5399181797538404,,,73
1,362.52287247794953,1.5,partner-non_social_feedback-informative,,,64.0,74
2,0.0,0.0,partner-non_social_feedback-partner,,0.0,,75
3,0.0,1.5,partner-non_social_feedback-affective,,,,76
0,,,partner-social_choice-choice_pentagon_catch,0.0,,,77
