index,onset,duration,trial_type,choice_RT,partner_RT,points,trialn
0,4.782943462906587,0.0009010652975121047,partner-social_choice-choice_pentagon,0.0009010652975121047,,,1
1,9.032557566333708,1.5,partner-social_feedback-informative,,,77.0,2
2,12.265456981628633,0.7513926468827776,partner-social_feedback-partner,,0.7513926468827776,,3
3,18.01536272449357,1.5,partner-social_feedback-affective,,,,4
0,23.782299479144967,0.0009028937583934749,partner-non_social_choice-choice_pentagon,0.0009028937583934749,,,5
1,28.031981235607415,1.5,partner-non_social_feedback-informative,,,36.0,6
2,34.264794347570394,0.7511717688639692,partner-non_social_feedback-partner,,0.7511717688639692,,7
3,39.01466827522381,1.5,partner-non_social_feedback-affective,,,,8
0,44.78154834760153,0.0008429202562183491,partner-social_choice-choice_pentagon,0.0008429202562183491,,,9
1,50.0312930031032,1.5,partner-social_feedback-informative,,,39.0,10
2,53.264098435532105,0.7517206726834047,partner-social_feedback-partner,,0.7517206726834047,,11
3,58.01412046848054,1.5,partner-social_feedback-affective,,,,12
0,62.280893575923976,0.0008509654817316914,partner-non_social_choice-choice_pentagon,0.0008509654817316914,,,13
1,69.53065395618523,1.5,partner-non_social_feedback-informative,,,82.0,14
2,72.76350839135284,0.7515776870786794,partner-non_social_feedback-partner,,0.7515776870786794,,15
3,80.51328431352796,1.5,partner-non_social_feedback-affective,,,,16
0,84.78025562608127,0.0008509654826411861,partner-social_choice-choice_pentagon,0.0008509654826411861,,,17
1,89.02992933731821,1.5,partner-social_feedback-informative,,,38.0,18
2,92.26268211008663,0.7513692425891351,partner-social_feedback-partner,,0.7513692425891351,,19
3,97.0127750872998,1.5,partner-social_feedback-affective,,,,20
0,102.77962188169751,0.0008597420919613796,partner-social_choice-choice_pentagon,0.0008597420919613796,,,21
1,108.02917272039394,1.5,partner-social_feedback-informative,,,84.0,22
2,112.26213357195957,0.7513772878155578,partner-social_feedback-partner,,0.7513772878155578,,23
3,117.01213732030372,1.5,partner-social_feedback-affective,,,,24
0,122.02884871720651,0.00084840563704347,partner-non_social_choice-choice_pentagon,0.00084840563704347,,,25
1,126.27904171120464,1.5,partner-non_social_feedback-informative,,,83.0,26
2,132.51158859933005,0.7513374273785303,partner-non_social_feedback-partner,,0.7513374273785303,,27
3,137.26142303223787,1.5,partner-non_social_feedback-affective,,,,28
0,142.27822987477614,0.0008378005668419063,partner-social_choice-choice_pentagon,0.0008378005668419063,,,29
1,147.54480477710874,1.5,partner-social_feedback-informative,,,35.0,30
2,151.7608706543433,0.751431044551282,partner-social_feedback-partner,,0.751431044551282,,31
3,159.5108374677866,1.5,partner-social_feedback-affective,,,,32
0,165.27746374985782,0.0008378005668419063,partner-non_social_choice-choice_pentagon,0.0008378005668419063,,,33
1,169.5446021836933,1.5,partner-non_social_feedback-informative,,,35.0,34
2,172.76031114545367,0.7513048807822997,partner-non_social_feedback-partner,,0.7513048807822997,,35
3,178.52685185557675,1.5,partner-non_social_feedback-affective,,,,36
0,184.27684719300214,0.0008469428685202729,partner-social_choice-choice_pentagon,0.0008469428685202729,,,37
1,189.52690305246867,1.5,partner-social_feedback-informative,,,82.0,38
2,193.77613647043472,0.7513260909236124,partner-social_feedback-partner,,0.7513260909236124,,39
3,198.52617715367973,1.5,partner-social_feedback-affective,,,,40
0,203.54289220750343,0.0008312181089422666,partner-non_social_choice-choice_pentagon,0.0008312181089422666,,,41
1,210.79291625175847,1.5,partner-non_social_feedback-informative,,,83.0,42
2,214.02544741512338,0.7517587046604604,partner-non_social_feedback-partner,,0.7517587046604604,,43
3,219.7754939494416,1.5,partner-non_social_feedback-affective,,,,44
0,224.04227802764672,0.0008842434617690742,partner-social_choice-choice_pentagon,0.0008842434617690742,,,45
1,228.29243152689926,1.5,partner-social_feedback-informative,,,42.0,46
2,232.52490783645226,0.7513714367423745,partner-social_feedback-partner,,0.7513714367423745,,47
3,240.27484173760783,1.5,partner-social_feedback-affective,,,,48
0,,,partner-non_social_choice-choice_pentagon_catch,0.0,,,49
1,0.0,1.5,partner-non_social_feedback-informative_catch,,,84.0,50
2,243.7748057169374,0.7510463364787938,partner-non_social_feedback-partner_catch,,0.7510463364787938,,51
3,249.52469024966197,1.5,partner-non_social_feedback-affective_catch,,,,52
0,264.79116166113454,0.0008465771761620999,partner-social_choice-choice_pentagon,0.0008465771761620999,,,53
1,270.0409608047566,1.5,partner-social_feedback-informative,,,84.0,54
2,273.2735680320757,0.751412394255567,partner-social_feedback-partner,,0.751412394255567,,55
3,278.0235995730181,1.5,partner-social_feedback-affective,,,,56
0,282.2906835187332,0.0008374348753932281,partner-non_social_choice-choice_pentagon,0.0008374348753932281,,,57
1,286.5406154085822,1.5,partner-non_social_feedback-informative,,,46.0,58
2,290.7731802156195,0.7513783848917228,partner-non_social_feedback-partner,,0.7513783848917228,,59
3,296.5231382524525,1.5,partner-non_social_feedback-affective,,,,60
0,301.5398756134937,0.0008454801009065704,partner-social_choice-choice_pentagon,0.0008454801009065704,,,61
1,306.78969340741236,1.5,partner-social_feedback-informative,,,47.0,62
2,311.02265096774954,0.7510942421413347,partner-social_feedback-partner,,0.7510942421413347,,63
3,315.77248210942884,1.5,partner-social_feedback-affective,,,,64
0,320.03927130732336,0.0008345093374373391,partner-non_social_choice-choice_pentagon,0.0008345093374373391,,,65
1,324.2894917282274,1.5,partner-non_social_feedback-informative,,,49.0,66
2,327.522145032749,0.7512193088341519,partner-non_social_feedback-partner,,0.7512193088341519,,67
3,333.2721162344978,1.5,partner-non_social_feedback-affective,,,,68
0,339.0387436136444,0.0008370691830350553,partner-non_social_choice-choice_pentagon,0.0008370691830350553,,,69
1,344.2887277974624,1.5,partner-non_social_feedback-informative,,,78.0,70
2,348.5215445663462,0.7510364627923991,partner-non_social_feedback-partner,,0.7510364627923991,,71
3,354.27124698441185,1.5,partner-non_social_feedback-affective,,,,72
0,358.53817880221965,0.000902528066035302,partner-social_choice-choice_pentagon,0.000902528066035302,,,73
1,363.7880379193439,1.5,partner-social_feedback-informative,,,49.0,74
2,368.0207032917042,0.7512405189754645,partner-social_feedback-partner,,0.7512405189754645,,75
3,372.7705201713925,1.5,partner-social_feedback-affective,,,,76
0,377.03753573268756,0.0008824150008877041,partner-social_choice-choice_pentagon,0.0008824150008877041,,,77
1,384.28726137220116,1.5,partner-social_feedback-informative,,,47.0,78
2,387.52005400540656,1.2182655151264044,partner-social_feedback-partner,,1.2182655151264044,,79
3,392.2698522347992,1.5,partner-social_feedback-affective,,,,80
0,396.5369932284792,0.0008432859485765222,partner-non_social_choice-choice_pentagon,0.0008432859485765222,,,81
1,400.8035290017588,1.5,partner-non_social_feedback-informative,,,47.0,82
2,405.0195056501252,0.7513151201610526,partner-non_social_feedback-partner,,0.7513151201610526,,83
3,410.76946990372386,1.5,partner-non_social_feedback-affective,,,,84
0,415.78639596188174,0.0008959456081356619,partner-social_choice-choice_pentagon,0.0008959456081356619,,,85
1,421.0362269207153,1.5,partner-social_feedback-informative,,,49.0,86
2,424.2689716482583,0.7680663775017821,partner-social_feedback-partner,,0.7680663775017821,,87
3,429.03549114824,1.5,partner-social_feedback-affective,,,,88
0,433.3024657520218,2.163857846710016,partner-non_social_choice-choice_pentagon,2.163857846710016,,,89
1,440.55188786710465,1.5,partner-non_social_feedback-informative,,,65.0,90
