index,onset,duration,trial_type,choice_RT,partner_RT,points,trialn
0,4.8172681796922925,0.6227814670285171,partner-social_choice-choice_pentagon,0.6227814670285171,,,1
1,8.815791138557643,1.5,partner-social_feedback-informative,,,47.0,2
2,12.282848074672074,1.4571210094932212,partner-social_feedback-partner,,1.4571210094932212,,3
3,17.30015238500641,1.5,partner-social_feedback-affective,,,,4
0,21.300230277990295,0.7806577459086839,partner-social_choice-choice_pentagon,0.7806577459086839,,,5
1,26.28224284984458,1.5,partner-social_feedback-informative,,,47.0,6
2,29.78245476995789,1.638346898780355,partner-social_feedback-partner,,1.638346898780355,,7
3,34.79882070753888,1.5,partner-social_feedback-affective,,,,8
0,38.79977517086172,1.1577358520926282,partner-social_choice-choice_pentagon,1.1577358520926282,,,9
1,42.78225071228189,1.5,partner-social_feedback-informative,,,51.0,10
2,47.28206219663343,1.17720909804666,partner-social_feedback-partner,,1.17720909804666,,11
3,52.29948535776475,1.5,partner-social_feedback-affective,,,,12
0,56.299586289518395,0.9485434560567684,partner-non_social_choice-choice_pentagon,0.9485434560567684,,,13
1,63.28145002360565,1.5,partner-non_social_feedback-informative,,,50.0,14
2,66.78204702030075,1.038047614189054,partner-non_social_feedback-partner,,1.038047614189054,,15
3,74.79919005924626,1.5,partner-non_social_feedback-affective,,,,16
0,78.79888616690094,0.8609463960963241,partner-non_social_choice-choice_pentagon,0.8609463960963241,,,17
1,82.78142314504089,1.5,partner-non_social_feedback-informative,,,50.0,18
2,87.2812463316245,1.4453511236520171,partner-non_social_feedback-partner,,1.4453511236520171,,19
3,93.2977885340797,1.5,partner-non_social_feedback-affective,,,,20
0,97.29820323193712,1.0962691454919875,partner-non_social_choice-choice_pentagon,1.0962691454919875,,,21
1,101.28053322684308,1.5,partner-non_social_feedback-informative,,,50.0,22
2,107.7804514940642,1.3178662734717363,partner-non_social_feedback-partner,,1.3178662734717363,,23
3,115.79748665305556,1.5,partner-non_social_feedback-affective,,,,24
0,121.29800465968263,0.381075515602106,partner-social_choice-choice_pentagon,0.381075515602106,,,25
1,128.2963952370451,1.5,partner-social_feedback-informative,,,64.0,26
2,132.78041858153594,1.5654525966338042,partner-social_feedback-partner,,1.5654525966338042,,27
3,137.79763037109615,1.5,partner-social_feedback-affective,,,,28
0,143.3139844235975,0.8388438048198168,partner-non_social_choice-choice_pentagon,0.8388438048198168,,,29
1,147.2965725990036,1.5,partner-non_social_feedback-informative,,,65.0,30
2,153.79610030422143,1.3244703551372368,partner-non_social_feedback-partner,,1.3244703551372368,,31
3,161.79685326973163,1.5,partner-non_social_feedback-affective,,,,32
0,165.8137501961039,0.6734481102905647,partner-social_choice-choice_pentagon,0.6734481102905647,,,33
1,169.79587905889184,1.5,partner-social_feedback-informative,,,64.0,34
2,173.29541736925785,1.2476576336403014,partner-social_feedback-partner,,1.2476576336403014,,35
3,179.29661721376442,1.5,partner-social_feedback-affective,,,,36
0,184.06313683456824,0.4878499744563669,partner-social_choice-choice_pentagon,0.4878499744563669,,,37
1,188.04561420446225,1.5,partner-social_feedback-informative,,,65.0,38
2,191.5453218315017,1.1594780219277254,partner-social_feedback-partner,,1.1594780219277254,,39
3,196.5462411881276,1.5,partner-social_feedback-affective,,,,40
0,200.56277753946662,0.7518468499602022,partner-non_social_choice-choice_pentagon,0.7518468499602022,,,41
1,207.54491481323433,1.5,partner-non_social_feedback-informative,,,66.0,42
2,211.0450883353976,1.1513087666905903,partner-non_social_feedback-partner,,1.1513087666905903,,43
3,219.04571038218387,1.5,partner-non_social_feedback-affective,,,,44
0,223.0622152837736,0.5239981700633507,partner-social_choice-choice_pentagon,0.5239981700633507,,,45
1,227.04460671539917,1.5,partner-social_feedback-informative,,,66.0,46
2,233.54418634927288,1.6159082340197983,partner-social_feedback-partner,,1.6159082340197983,,47
3,238.5455427111367,1.5,partner-social_feedback-affective,,,,48
0,,,partner-non_social_choice-choice_pentagon_catch,0.0,,,49
1,0.0,1.5,partner-non_social_feedback-informative_catch,,,73.0,50
2,242.56071392393775,1.593057796959556,partner-non_social_feedback-partner_catch,,1.593057796959556,,51
3,247.56182015058587,1.5,partner-non_social_feedback-affective_catch,,,,52
0,262.06154130833147,1.1629645557666208,partner-social_choice-choice_pentagon,1.1629645557666208,,,53
1,267.04399417667673,1.5,partner-social_feedback-informative,,,65.0,54
2,270.5438283341032,1.201664569407285,partner-social_feedback-partner,,1.201664569407285,,55
3,276.5446489531439,1.5,partner-social_feedback-affective,,,,56
0,281.3112409815101,0.532901740377838,partner-social_choice-choice_pentagon,0.532901740377838,,,57
1,288.29282934744333,1.5,partner-social_feedback-informative,,,65.0,58
2,292.7930657691054,1.393071400804729,partner-social_feedback-partner,,1.393071400804729,,59
3,297.810045708188,1.5,partner-social_feedback-affective,,,,60
0,301.81058474226387,0.4161957432399959,partner-non_social_choice-choice_pentagon,0.4161957432399959,,,61
1,305.7928591515663,1.5,partner-non_social_feedback-informative,,,71.0,62
2,309.29269367468737,1.3438989863307145,partner-non_social_feedback-partner,,1.3438989863307145,,63
