index,onset,duration,trial_type,choice_RT,partner_RT,points,trialn
0,4.7829739942535525,0.43055961376649066,partner-social_choice-choice_pentagon,0.43055961376649066,,,1
1,8.766099679248327,1.5,partner-social_feedback-informative,,,65.0,2
2,13.26600990085626,1.4244038513652413,partner-social_feedback-partner,,1.4244038513652413,,3
3,18.2827723128562,1.5,partner-social_feedback-affective,,,,4
0,23.032541832891184,0.5947864170229877,partner-non_social_choice-choice_pentagon,0.5947864170229877,,,5
1,28.015703356103128,1.5,partner-non_social_feedback-informative,,,62.0,6
2,31.51561577188795,1.1668923621077738,partner-non_social_feedback-partner,,1.1668923621077738,,7
3,39.53220886659483,1.5,partner-non_social_feedback-affective,,,,8
0,45.03209970630951,0.8057575924908633,partner-non_social_choice-choice_pentagon,0.8057575924908633,,,9
1,49.01525976673747,1.5,partner-non_social_feedback-informative,,,61.0,10
2,53.515157188981895,1.4708187313931376,partner-non_social_feedback-partner,,1.4708187313931376,,11
3,61.53178831608284,1.5,partner-non_social_feedback-affective,,,,12
0,65.5316489858701,0.7389756340348868,partner-social_choice-choice_pentagon,0.7389756340348868,,,13
1,69.51485036995655,1.5,partner-social_feedback-informative,,,35.0,14
2,73.01474450093656,1.2679060351192677,partner-social_feedback-partner,,1.2679060351192677,,15
3,78.03151568964267,1.5,partner-social_feedback-affective,,,,16
0,,,partner-social_choice-choice_pentagon_catch,0.0,,,17
1,0.0,1.5,partner-social_feedback-informative_catch,,,36.0,18
2,82.01455507035827,1.8858958694991088,partner-social_feedback-partner_catch,,1.8858958694991088,,19
3,88.03121545314707,1.5,partner-social_feedback-affective_catch,,,,20
0,102.28093761553735,0.8481713915211913,partner-social_choice-choice_pentagon,0.8481713915211913,,,21
1,107.264042090158,1.5,partner-social_feedback-informative,,,54.0,22
2,110.76395158037441,1.490177219985526,partner-social_feedback-partner,,1.490177219985526,,23
3,118.78054723495372,1.5,partner-social_feedback-affective,,,,24
0,122.7804495940959,0.8093692071456644,partner-non_social_choice-choice_pentagon,0.8093692071456644,,,25
1,126.76362793932822,1.5,partner-non_social_feedback-informative,,,50.0,26
2,0.0,0.0,partner-non_social_feedback-partner,,0.0,,27
3,0.0,1.5,partner-non_social_feedback-affective,,,,28
0,139.28009322324942,1.1224354189835142,partner-non_social_choice-choice_pentagon,1.1224354189835142,,,29
1,146.26321781115533,1.5,partner-non_social_feedback-informative,,,53.0,30
2,0.0,0.0,partner-non_social_feedback-partner,,0.0,,31
3,0.0,1.5,partner-non_social_feedback-affective,,,,32
0,160.0296612447346,0.7516835734068081,partner-non_social_choice-choice_pentagon,0.7516835734068081,,,33
1,164.01284836667355,1.5,partner-non_social_feedback-informative,,,52.0,34
2,167.51276407372325,1.3834118787599436,partner-non_social_feedback-partner,,1.3834118787599436,,35
3,173.5293520486848,1.5,partner-non_social_feedback-affective,,,,36
0,,,partner-non_social_choice-choice_pentagon_catch,0.0,,,37
1,0.0,1.5,partner-non_social_feedback-informative_catch,,,51.0,38
2,176.76257254039226,1.8855170083429584,partner-non_social_feedback-partner_catch,,1.8855170083429584,,39
3,181.7792599846921,1.5,partner-non_social_feedback-affective_catch,,,,40
0,195.27893213814102,0.5118867687860984,partner-social_choice-choice_pentagon,0.5118867687860984,,,41
1,199.2621046322361,1.5,partner-social_feedback-informative,,,51.0,42
2,205.7619530512043,1.3567855459341445,partner-social_feedback-partner,,1.3567855459341445,,43
3,211.77863354727788,1.5,partner-social_feedback-affective,,,,44
0,217.27846075587198,0.7569177816430965,partner-non_social_choice-choice_pentagon,0.7569177816430965,,,45
