index,onset,duration,trial_type,choice_RT,partner_RT,points,trialn
0,4.783773099566588,0.7399105730037263,partner-social_choice-choice_pentagon,0.7399105730037263,,,1
1,8.766073107502052,1.5,partner-social_feedback-informative,,,36.0,2
2,15.26588422615896,1.288494767456541,partner-social_feedback-partner,,1.288494767456541,,3
3,20.28337723498907,1.5,partner-social_feedback-affective,,,,4
0,24.283603600045357,0.7036332871457489,partner-social_choice-choice_pentagon,0.7036332871457489,,,5
1,28.265850216545914,1.5,partner-social_feedback-informative,,,37.0,6
2,34.765537730374035,1.300447134982733,partner-social_feedback-partner,,1.300447134982733,,7
3,40.781877703626826,1.5,partner-social_feedback-affective,,,,8
0,45.532868096459886,0.5010296135960743,partner-social_choice-choice_pentagon,0.5010296135960743,,,9
1,50.51490699833721,1.5,partner-social_feedback-informative,,,34.0,10
2,0.0,0.0,partner-social_feedback-partner,,0.0,,11
3,0.0,1.5,partner-social_feedback-affective,,,,12
0,68.03230035534534,0.7942593968009533,partner-non_social_choice-choice_pentagon,0.7942593968009533,,,13
1,75.01464497804182,1.5,partner-non_social_feedback-informative,,,38.0,14
2,78.5146857530076,1.6035678643538631,partner-non_social_feedback-partner,,1.6035678643538631,,15
3,83.53100305318549,1.5,partner-non_social_feedback-affective,,,,16
0,87.53201602766968,0.7481087181263321,partner-non_social_choice-choice_pentagon,0.7481087181263321,,,17
1,91.5139422955608,1.5,partner-non_social_feedback-informative,,,37.0,18
2,95.0134316028293,1.2918222240750763,partner-non_social_feedback-partner,,1.2918222240750763,,19
3,103.03028245166159,1.5,partner-non_social_feedback-affective,,,,20
0,107.03131809922115,0.6083836986440474,partner-non_social_choice-choice_pentagon,0.6083836986440474,,,21
1,111.0136521167692,1.5,partner-non_social_feedback-informative,,,37.0,22
2,117.51363803752109,1.1379634678246475,partner-non_social_feedback-partner,,1.1379634678246475,,23
3,122.5311423828889,1.5,partner-non_social_feedback-affective,,,,24
0,127.281349091852,0.5710360242251227,partner-social_choice-choice_pentagon,0.5710360242251227,,,25
1,132.2796983457065,1.5,partner-social_feedback-informative,,,42.0,26
2,136.76300748833137,1.0631361031787492,partner-social_feedback-partner,,1.0631361031787492,,27
3,142.79673917296668,1.5,partner-social_feedback-affective,,,,28
0,146.7805930179361,0.4964500181199583,partner-social_choice-choice_pentagon,0.4964500181199583,,,29
1,153.77965464518275,1.5,partner-social_feedback-informative,,,45.0,30
2,158.262788620018,1.7321874653734994,partner-social_feedback-partner,,1.7321874653734994,,31
3,163.29613120542854,1.5,partner-social_feedback-affective,,,,32
0,167.29706555553958,0.4315710137170754,partner-non_social_choice-choice_pentagon,0.4315710137170754,,,33
1,171.27907008210923,1.5,partner-non_social_feedback-informative,,,47.0,34
2,174.7789737215403,1.2145128890947492,partner-non_social_feedback-partner,,1.2145128890947492,,35
3,180.7955733380727,1.5,partner-non_social_feedback-affective,,,,36
0,186.2964453372274,0.6969264452532116,partner-non_social_choice-choice_pentagon,0.6969264452532116,,,37
1,193.27837599345546,1.5,partner-non_social_feedback-informative,,,47.0,38
2,196.77842115675818,1.2477139506336243,partner-non_social_feedback-partner,,1.2477139506336243,,39
3,204.79522629374557,1.5,partner-non_social_feedback-affective,,,,40
0,208.7960820194835,0.6348753584265978,partner-social_choice-choice_pentagon,0.6348753584265978,,,41
1,212.77801304140667,1.5,partner-social_feedback-informative,,,50.0,42
2,216.2780636901307,1.1337210429173863,partner-social_feedback-partner,,1.1337210429173863,,43
3,222.29448777317842,1.5,partner-social_feedback-affective,,,,44
0,227.0455465509317,0.42406695724776,partner-non_social_choice-choice_pentagon,0.42406695724776,,,45
1,234.02755656292263,1.5,partner-non_social_feedback-informative,,,51.0,46
2,237.52752749018916,1.5539621015891498,partner-non_social_feedback-partner,,1.5539621015891498,,47
3,243.54495394257358,1.5,partner-non_social_feedback-affective,,,,48
0,247.54503000708337,0.5552537354801643,partner-non_social_choice-choice_pentagon,0.5552537354801643,,,49
1,251.52716874363026,1.5,partner-non_social_feedback-informative,,,49.0,50
2,255.02720330178502,1.5630642441583404,partner-non_social_feedback-partner,,1.5630642441583404,,51
3,260.04387020615286,1.5,partner-non_social_feedback-affective,,,,52
0,264.79466970632166,0.4823400515119829,partner-non_social_choice-choice_pentagon,0.4823400515119829,,,53
1,268.776289522004,1.5,partner-non_social_feedback-informative,,,39.0,54
2,272.2767029399297,1.2471409069448782,partner-non_social_feedback-partner,,1.2471409069448782,,55
3,278.29356549099475,1.5,partner-non_social_feedback-affective,,,,56
0,283.79410470791754,0.6495082685414673,partner-social_choice-choice_pentagon,0.6495082685414673,,,57
1,288.77641897794916,1.5,partner-social_feedback-informative,,,52.0,58
2,293.27651497282335,1.4660267739759547,partner-social_feedback-partner,,1.4660267739759547,,59
