onset	duration	trial_type	choice_RT	partner_RT	points	trialn
446.7936699199963	0.9128227107321436	partner-social_feedback-partner		0.9128227107321436		91
452.80573670585363	1.5	partner-social_feedback-affective				92
456.812691097668	0.7166329436367959	partner-social_choice-choice_pentagon	0.7166329436367959			93
460.80313296868553	1.5	partner-social_feedback-informative			46.0	94
0.0	0.0	partner-social_feedback-partner		0.0		95
0.0	1.5	partner-social_feedback-affective				96
473.3104642075705	1.2745019164176483	partner-non_social_choice-choice_pentagon	1.2745019164176483			97
477.3005191749508	1.5	partner-non_social_feedback-informative			75.0	98
480.8066542306515	1.269111961064482	partner-non_social_feedback-partner		1.269111961064482		99
486.8020066329445	1.5	partner-non_social_feedback-affective				100
491.5607934230757	1.383821211020404	partner-social_choice-choice_pentagon	1.383821211020404			101
496.55230385027613	1.5	partner-social_feedback-informative			45.0	102
500.0420938727693	1.3132281184589374	partner-social_feedback-partner		1.3132281184589374		103
506.05448685715965	1.5	partner-social_feedback-affective				104
		partner-social_choice-choice_pentagon_catch	0.0			105
0.0	1.5	partner-social_feedback-informative_catch			44.0	106
510.7953228542648	1.5269060764003368	partner-social_feedback-partner_catch		1.5269060764003368		107
515.8051234379856	1.5	partner-social_feedback-affective_catch				108
527.0764233427943	0.6464322401152458	partner-non_social_choice-choice_pentagon	0.6464322401152458			109
531.0493934791739	1.5	partner-non_social_feedback-informative			75.0	110
534.5560715896063	2.2055409135973605	partner-non_social_feedback-partner		2.2055409135973605		111
540.5514269174491	1.5	partner-non_social_feedback-affective				112
544.575659592083	0.7355842738652427	partner-social_choice-choice_pentagon	0.7355842738652427			113
548.5486352138614	1.5	partner-social_feedback-informative			76.0	114
555.0439724398784	1.2242084657264058	partner-social_feedback-partner		1.2242084657264058		115
560.0541690695753	1.5	partner-social_feedback-affective				116
564.8126614765024	0.651121161179617	partner-social_choice-choice_pentagon	0.651121161179617			117
568.802696330742	1.5	partner-social_feedback-informative			78.0	118
573.2941253911523	1.4956338033807697	partner-social_feedback-partner		1.4956338033807697		119
578.3045191296043	1.5	partner-social_feedback-affective				120
583.0632466774005	0.5624196617281996	partner-non_social_choice-choice_pentagon	0.5624196617281996			121
587.0527044674201	1.5	partner-non_social_feedback-informative			80.0	122
593.5484563897771	1.2877352642899496	partner-non_social_feedback-partner		1.2877352642899496		123
598.5585824406444	1.5	partner-non_social_feedback-affective				124
603.3176482548553	0.4594725750030193	partner-non_social_choice-choice_pentagon	0.4594725750030193			125
610.2960419903793	1.5	partner-non_social_feedback-informative			56.0	126
614.8043320774195	1.233499638510693	partner-non_social_feedback-partner		1.233499638510693		127
619.8136353180853	1.5	partner-non_social_feedback-affective				128
623.8217361587776	0.6518401144458039	partner-social_choice-choice_pentagon	0.6518401144458039			129
627.8119136334535	1.5	partner-social_feedback-informative			75.0	130
632.3034066902146	1.5041182564746125	partner-social_feedback-partner		1.5041182564746125		131
637.3136658534859	1.5	partner-social_feedback-affective				132
642.8237792879263	0.7944839535557549	partner-non_social_choice-choice_pentagon	0.7944839535557549			133
649.802517872351	1.5	partner-non_social_feedback-informative			55.0	134
653.3089900973864	1.2579129656987789	partner-non_social_feedback-partner		1.2579129656987789		135
661.3081179185756	1.5	partner-non_social_feedback-affective				136
665.3155191877487	0.3592590466141701	partner-non_social_choice-choice_pentagon	0.3592590466141701			137
669.3051444653573	1.5	partner-non_social_feedback-informative			55.0	138
672.8117329809029	1.2968893020406542	partner-non_social_feedback-partner		1.2968893020406542		139
677.8209415069688	1.5	partner-non_social_feedback-affective				140
683.3155440549017	0.8057985080449726	partner-non_social_choice-choice_pentagon	0.8057985080449726			141
687.3052867200968	1.5	partner-non_social_feedback-informative			58.0	142
693.800863475306	1.343208396610862	partner-non_social_feedback-partner		1.343208396610862		143
698.8106827093907	1.5	partner-non_social_feedback-affective				144
702.8181527289308	0.07083481591325835	partner-non_social_choice-choice_pentagon	0.07083481591325835			145
709.8135892407118	1.5	partner-non_social_feedback-informative			55.0	146
716.308851865273	1.3478157680438017	partner-non_social_feedback-partner		1.3478157680438017		147
724.3079829777016	1.5	partner-non_social_feedback-affective				148
729.0669010517703	0.5834960364336439	partner-social_choice-choice_pentagon	0.5834960364336439			149
733.0565065819319	1.5	partner-social_feedback-informative			50.0	150
736.5630468259442	2.0541793089942075	partner-social_feedback-partner		2.0541793089942075		151
741.555869361142	1.5	partner-social_feedback-affective				152
745.5807836883178	0.5292907632065179	partner-social_choice-choice_pentagon	0.5292907632065179			153
749.5537783261534	1.5	partner-social_feedback-informative			61.0	154
754.0622220044314	1.3736136105253536	partner-social_feedback-partner		1.3736136105253536		155
759.0723509808449	1.5	partner-social_feedback-affective				156
763.0791777456508	0.4994099536634167	partner-non_social_choice-choice_pentagon	0.4994099536634167			157
767.0528547674147	1.5	partner-non_social_feedback-informative			57.0	158
773.5647615624002	0.7516089596356323	partner-non_social_feedback-partner		0.7516089596356323		159
778.5751545694658	1.5	partner-non_social_feedback-affective				160
