onset	duration	trial_type	choice_RT	partner_RT	points	trialn
4.776026309447843	1.5048200221544905	partner-social_choice-choice_pentagon	1.5048200221544905			1
11.77170381319502	1.5	partner-social_feedback-informative			39.0	2
0.0	0.0	partner-social_feedback-partner		0.0		3
0.0	1.5	partner-social_feedback-affective				4
25.28098456371481	0.8483063457679236	partner-social_choice-choice_pentagon	0.8483063457679236			5
30.27263943981597	1.5	partner-social_feedback-informative			46.0	6
33.76221736012485	1.5060491177464428	partner-social_feedback-partner		1.5060491177464428		7
38.78795742304647	1.5	partner-social_feedback-affective				8
42.779951662643725	1.4861319911897226	partner-non_social_choice-choice_pentagon	1.4861319911897226			9
49.77440263065182	1.5	partner-non_social_feedback-informative			45.0	10
0.0	0.0	partner-non_social_feedback-partner		0.0		11
0.0	1.5	partner-non_social_feedback-affective				12
60.5293920602835	1.567151003225263	partner-non_social_choice-choice_pentagon	1.567151003225263			13
64.51899685905937	1.5	partner-non_social_feedback-informative			45.0	14
69.01069726399146	1.380666373867825	partner-non_social_feedback-partner		1.380666373867825		15
74.0367119626726	1.5	partner-non_social_feedback-affective				16
78.02843485775065	0.8778258502097742	partner-non_social_choice-choice_pentagon	0.8778258502097742			17
82.0182579754992	1.5	partner-non_social_feedback-informative			46.0	18
86.50985927751391	2.4121002833753664	partner-non_social_feedback-partner		2.4121002833753664		19
91.53588494699852	1.5	partner-non_social_feedback-affective				20
95.54437963950659	1.8844405128338624	partner-social_choice-choice_pentagon	1.8844405128338624			21
102.52298620860438	1.5	partner-social_feedback-informative			38.0	22
107.01450925222616	1.5771044467956017	partner-social_feedback-partner		1.5771044467956017		23
113.04227781656118	1.5	partner-social_feedback-affective				24
118.53678967252472	0.7295433842218699	partner-social_choice-choice_pentagon	0.7295433842218699			25
122.52652465815844	1.5	partner-social_feedback-informative			42.0	26
127.01809524192595	1.251219678986672	partner-social_feedback-partner		1.251219678986672		27
132.02757511251454	1.5	partner-social_feedback-affective				28
136.0357666451764	1.104038315894286	partner-non_social_choice-choice_pentagon	1.104038315894286			29
143.0143110463914	1.5	partner-non_social_feedback-informative			39.0	30
147.5231763691836	1.4124817016145244	partner-non_social_feedback-partner		1.4124817016145244		31
153.53381402514697	1.5	partner-non_social_feedback-affective				32
157.54185708627938	1.0917747869743837	partner-non_social_choice-choice_pentagon	1.0917747869743837			33
162.517204595596	1.5	partner-non_social_feedback-informative			41.0	34
167.02544165708878	1.4008577704917116	partner-non_social_feedback-partner		1.4008577704917116		35
172.034491837906	1.5	partner-non_social_feedback-affective				36
176.79450699224068	1.0095438669377472	partner-social_choice-choice_pentagon	1.0095438669377472			37
183.77318084892795	1.5	partner-social_feedback-informative			36.0	38
187.27930859075968	1.0675790473760571	partner-social_feedback-partner		1.0675790473760571		39
192.28906090294828	1.5	partner-social_feedback-affective				40
196.2974034669933	0.8092689386230631	partner-non_social_choice-choice_pentagon	0.8092689386230631			41
200.2704997676019	1.5	partner-non_social_feedback-informative			34.0	42
206.7656771855945	1.2487640476565502	partner-non_social_feedback-partner		1.2487640476565502		43
212.7938582521101	1.5	partner-non_social_feedback-affective				44
218.28794590370308	3.0	partner-non_social_choice-choice_star_lapse	0.5921037282078032			45
223.27955323965944	1.5	partner-non_social_feedback-informative_lapse			0.0	46
226.76930998405172	3.0	partner-non_social_feedback-partner_lapse		0.0		47
0.0	1.5	partner-non_social_feedback-affective_lapse				48
237.5403643257286	1.0124507639520743	partner-social_choice-choice_pentagon	1.0124507639520743			49
242.53181770475484	1.5	partner-social_feedback-informative			33.0	50
247.02385857026275	0.7518415406520944	partner-social_feedback-partner		0.7518415406520944		51
252.04954780179835	1.5	partner-social_feedback-affective				52
256.0410585946911	0.3992450624991761	partner-social_choice-choice_pentagon	0.3992450624991761			53
260.03065022850393	1.5	partner-social_feedback-informative			46.0	54
264.52249032832333	1.5897354976041242	partner-social_feedback-partner		1.5897354976041242		55
269.5487906335675	1.5	partner-social_feedback-affective				56
273.5400234994595	0.7099359999947409	partner-non_social_choice-choice_pentagon	0.7099359999947409			57
277.5298312580844	1.5	partner-non_social_feedback-informative			43.0	58
281.01968710539404	1.1190460082552818	partner-non_social_feedback-partner		1.1190460082552818		59
286.0453726799951	1.5	partner-non_social_feedback-affective				60
291.54013576734	3.0	partner-non_social_choice-choice_star_lapse	0.0			61
0.0	1.5	partner-non_social_feedback-informative_lapse			0.0	62
0.0	3.0	partner-non_social_feedback-partner_lapse		0.0		63
0.0	1.5	partner-non_social_feedback-affective_lapse				64
314.04807369161244	3.0	partner-social_choice-choice_star_lapse	0.7310803936770753			65
321.0273165672652	1.5	partner-social_feedback-informative_lapse			0.0	66
324.5334494288054	3.0	partner-social_feedback-partner_lapse		0.0		67
0.0	1.5	partner-social_feedback-affective_lapse				68
333.5512521159935	1.1324812188995566	partner-social_choice-choice_pentagon	1.1324812188995566			69
337.52429941368337	1.5	partner-social_feedback-informative			48.0	70
341.0305716044177	1.1128731032849828	partner-social_feedback-partner		1.1128731032849828		71
349.04587623983747	1.5	partner-social_feedback-affective				72
353.0541394484098	1.8370265321555053	partner-non_social_choice-choice_pentagon	1.8370265321555053			73
357.02711470449594	1.5	partner-non_social_feedback-informative			33.0	74
360.5335251273437	1.397510578595757	partner-non_social_feedback-partner		1.397510578595757		75
368.5484775999976	1.5	partner-non_social_feedback-affective				76
372.5400567775605	0.3887580722248458	partner-non_social_choice-choice_pentagon	0.3887580722248458			77
376.5297950544354	1.5	partner-non_social_feedback-informative			51.0	78
0.0	0.0	partner-non_social_feedback-partner		0.0		79
0.0	1.5	partner-non_social_feedback-affective				80
393.29525392105637	0.5291134018962111	partner-social_choice-choice_pentagon	0.5291134018962111			81
400.27361401278716	1.5	partner-social_feedback-informative			49.0	82
403.7801440173834	1.1282044343251982	partner-social_feedback-partner		1.1282044343251982		83
408.80603620876815	1.5	partner-social_feedback-affective				84
413.54926274377607	1.159819362077542	partner-non_social_choice-choice_pentagon	1.159819362077542			85
418.52422444653166	1.5	partner-non_social_feedback-informative			50.0	86
